schedule_Date;schedule_Time;schedule_Round;schedule_Day;schedule_Venue;schedule_Result;schedule_GF;schedule_GA;schedule_Opponent;schedule_xG;schedule_xGA;schedule_Poss;schedule_Attendance;schedule_Captain;schedule_Formation;schedule_Referee;schedule_Match Report;schedule_Notes;schedule_fbref_season;schedule_fbref_league_id;schedule_fbref_squad_id;schedule_fbref_opponent_id;schedule_fbref_match_id;shooting_standard_Gls;shooting_standard_Sh;shooting_standard_SoT;shooting_standard_SoT%;shooting_standard_G/Sh;shooting_standard_G/SoT;shooting_standard_Dist;shooting_standard_FK;shooting_standard_PK;shooting_standard_PKatt;shooting_expected_xG;shooting_expected_npxG;shooting_expected_npxG/Sh;shooting_expected_G-xG;shooting_expected_np:G-xG;keeper_performance_SoTA;keeper_performance_GA;keeper_performance_Saves;keeper_performance_Save%;keeper_performance_CS;keeper_performance_PSxG;keeper_performance_PSxG+/-;keeper_penaltykicks_PKatt;keeper_penaltykicks_PKA;keeper_penaltykicks_PKsv;keeper_penaltykicks_PKm;keeper_launched_Cmp;keeper_launched_Att;keeper_launched_Cmp%;keeper_passes_Att;keeper_passes_Thr;keeper_passes_Launch%;keeper_passes_AvgLen;keeper_goalkicks_Att;keeper_goalkicks_Launch%;keeper_goalkicks_AvgLen;keeper_crosses_Opp;keeper_crosses_Stp;keeper_crosses_Stp%;keeper_sweeper_#OPA;keeper_sweeper_AvgDist;passing_total_Cmp;passing_total_Att;passing_total_Cmp%;passing_total_TotDist;passing_total_PrgDist;passing_short_Cmp;passing_short_Att;passing_short_Cmp%;passing_medium_Cmp;passing_medium_Att;passing_medium_Cmp%;passing_long_Cmp;passing_long_Att;passing_long_Cmp%;passing_attacking_Ast;passing_attacking_xAG;passing_attacking_xA;passing_attacking_KP;passing_attacking_1/3;passing_attacking_PPA;passing_attacking_CrsPA;passing_attacking_PrgP;passing_types_general_Att;passing_types_passtypes_Live;passing_types_passtypes_Dead;passing_types_passtypes_FK;passing_types_passtypes_TB;passing_types_passtypes_Sw;passing_types_passtypes_Crs;passing_types_passtypes_TI;passing_types_passtypes_CK;passing_types_cornerkicks_In;passing_types_cornerkicks_Out;passing_types_cornerkicks_Str;passing_types_outcomes_Cmp;passing_types_outcomes_Off;passing_types_outcomes_Blocks;gca_scatypes_SCA;gca_scatypes_PassLive;gca_scatypes_PassDead;gca_scatypes_TO;gca_scatypes_Sh;gca_scatypes_Fld;gca_scatypes_Def;gca_gcatypes_GCA;gca_gcatypes_PassLive;gca_gcatypes_PassDead;gca_gcatypes_TO;gca_gcatypes_Sh;gca_gcatypes_Fld;gca_gcatypes_Def;defense_tackles_Tkl;defense_tackles_TklW;defense_tackles_Def3rd;defense_tackles_Mid3rd;defense_tackles_Att3rd;defense_challenges_Tkl;defense_challenges_Att;defense_challenges_Tkl%;defense_challenges_Lost;defense_blocks_Blocks;defense_blocks_Sh;defense_blocks_Pass;defense_general_Int;defense_general_Tkl+Int;defense_general_Clr;defense_general_Err;possession_general_Poss;possession_touches_Touches;possession_touches_DefPen;possession_touches_Def3rd;possession_touches_Mid3rd;possession_touches_Att3rd;possession_touches_AttPen;possession_touches_Live;possession_take-ons_Att;possession_take-ons_Succ;possession_take-ons_Succ%;possession_take-ons_Tkld;possession_take-ons_Tkld%;possession_carries_Carries;possession_carries_TotDist;possession_carries_PrgDist;possession_carries_PrgC;possession_carries_1/3;possession_carries_CPA;possession_carries_Mis;possession_carries_Dis;possession_receiving_Rec;possession_receiving_PrgR;misc_performance_CrdY;misc_performance_CrdR;misc_performance_2CrdY;misc_performance_Fls;misc_performance_Fld;misc_performance_Off;misc_performance_Crs;misc_performance_Int;misc_performance_TklW;misc_performance_PKwon;misc_performance_PKcon;misc_performance_OG;misc_performance_Recov;misc_aerialduels_Won;misc_aerialduels_Lost;misc_aerialduels_Won%
2018-08-12;16:00;Matchweek 1;Sun;Away;W;2;0;Arsenal;1.7;0.5;58;59934;Fernandinho;4-2-3-1;Michael Oliver;Match Report;;2018-2019;9;b8fd03ef;18bb7c10;478e9dab;2;17;8;47.1;0.12;0.25;18.2;1;0;0;1.7;1.7;0.1;0.3;0.3;3;0;3;100.0;1;0.1;0.1;0;0;0;0;2;11;18.2;38;9;18.4;28.6;8;50.0;43.4;10;1;10.0;1;13.5;492;601;81.9;7980;2720;240;266;90.2;187;210;89.0;42;79;53.2;2;0.5;0.4;9;24;8;0;36;601;544;55;17;6;7;15;20;9;1;6;0;492;2;11;25;17;1;3;3;1;0;4;3;0;1;0;0;0;6;5;2;3;1;2;7;28.6;5;14;2;12;12;18;10;1;58.0;690;67;191;331;173;30;690;15;9;60.0;6;40.0;486;2461;1321;34;21;11;11;16;488;35;2;0;0;14;11;2;15;12;5;0;0;0;48;8;14;36.4
2018-08-19;13:30;Matchweek 2;Sun;Home;W;6;1;Huddersfield;4.2;0.7;76;54021;Vincent Kompany;3-1-4-2;Andre Marriner;Match Report;;2018-2019;9;b8fd03ef;f5922ca5;64ee90d5;5;32;14;43.8;0.16;0.36;18.0;1;0;0;4.2;4.2;0.14;0.8;0.8;1;1;0;0.0;0;0.5;-0.5;0;0;0;0;3;6;50.0;19;6;10.5;28.5;7;57.1;49.0;7;0;0.0;1;20.0;732;806;90.8;11764;3222;335;355;94.4;267;286;93.4;71;88;80.7;2;2.8;1.7;22;82;17;2;77;806;767;38;4;2;9;24;15;10;5;2;0;732;1;10;57;42;3;9;2;1;0;7;4;2;0;0;1;0;5;3;2;3;0;0;4;0.0;4;13;2;11;5;10;27;0;76.0;924;36;137;438;357;50;924;23;18;78.3;5;21.7;668;3231;1852;48;41;9;13;11;730;77;0;0;0;9;4;1;24;5;3;0;0;0;49;17;18;48.6
2018-08-25;12:30;Matchweek 3;Sat;Away;D;1;1;Wolves;1.6;1.0;71;31322;Vincent Kompany;4-3-3;Martin Atkinson;Match Report;;2018-2019;9;b8fd03ef;8cec06e1;a25a3f33;1;18;6;33.3;0.06;0.17;18.6;1;0;0;1.6;1.6;0.09;-0.6;-0.6;2;1;1;50.0;0;0.9;-0.1;0;0;0;0;3;3;100.0;15;1;6.7;20.9;7;28.6;32.4;11;1;9.1;1;15.5;601;698;86.1;9432;2916;287;307;93.5;242;273;88.6;40;61;65.6;1;1.2;1.5;11;41;13;1;59;698;641;54;16;1;2;30;20;9;3;4;0;601;3;11;31;24;2;1;1;3;0;2;0;1;0;0;1;0;9;8;3;6;0;6;12;50.0;6;10;3;7;7;16;13;0;71.0;794;39;127;440;231;32;794;20;16;80.0;4;20.0;578;3161;1778;28;24;7;15;15;600;59;2;0;0;8;13;3;30;7;8;0;0;0;44;13;15;46.4
2018-09-01;17:30;Matchweek 4;Sat;Home;W;2;1;Newcastle Utd;2.0;0.5;78;53946;David Silva;4-1-3-2;Kevin Friend;Match Report;;2018-2019;9;b8fd03ef;b2b47a98;f74a4680;2;24;8;33.3;0.08;0.25;17.5;3;0;0;2.0;2.0;0.09;0.0;0.0;2;1;1;50.0;0;0.7;-0.3;0;0;0;0;2;4;50.0;20;6;20.0;24.8;3;0.0;25.7;3;1;33.3;2;21.5;730;827;88.3;11155;3167;361;395;91.4;257;278;92.4;54;73;74.0;2;1.5;1.5;15;67;10;3;64;827;774;51;11;3;6;21;31;4;1;3;0;730;2;12;43;32;2;1;4;4;0;3;3;0;0;0;0;0;9;6;5;4;0;2;9;22.2;7;6;0;6;6;15;9;0;78.0;915;27;115;508;296;35;915;13;8;61.5;5;38.5;686;3956;2262;39;30;15;18;14;726;63;0;0;0;5;13;2;21;6;6;0;0;0;42;12;15;44.4
2018-09-15;15:00;Matchweek 5;Sat;Home;W;3;0;Fulham;4.8;0.4;64;53307;David Silva;4-3-3;Stuart Attwell;Match Report;;2018-2019;9;b8fd03ef;fd962109;2e19378a;3;28;9;32.1;0.11;0.33;16.6;1;0;0;4.8;4.8;0.18;-1.8;-1.8;3;0;3;100.0;1;0.3;0.3;0;0;0;0;1;1;100.0;19;4;0.0;17.1;4;25.0;37.3;9;1;11.1;1;20.0;696;782;89.0;10925;3215;339;358;94.7;250;280;89.3;57;70;81.4;2;3.9;2.5;22;48;20;2;62;782;737;40;8;5;5;20;17;10;1;7;0;696;5;13;49;38;2;3;4;1;1;5;3;0;0;1;0;1;16;11;9;5;2;7;15;46.7;8;9;1;8;12;28;16;1;64.0;898;49;161;479;264;50;898;17;13;76.5;4;23.5;644;3128;2009;40;30;13;20;10;685;62;0;0;0;7;7;5;20;12;11;0;0;0;65;10;7;58.8
2018-09-22;15:00;Matchweek 6;Sat;Away;W;5;0;Cardiff City;2.5;0.1;78;32321;Fernandinho;4-3-3;Michael Oliver;Match Report;;2018-2019;9;b8fd03ef;75fae011;41dde04a;5;21;10;47.6;0.24;0.5;13.9;1;0;0;2.5;2.5;0.12;2.5;2.5;2;0;2;100.0;1;0.1;0.1;0;0;0;0;2;4;50.0;29;8;10.3;24.1;4;25.0;39.8;6;2;33.3;3;18.7;755;846;89.2;12211;3258;363;383;94.8;316;351;90.0;49;73;67.1;4;1.6;1.8;15;37;11;1;61;846;809;36;7;1;4;23;15;9;2;4;0;755;1;6;36;29;1;2;2;2;0;8;8;0;0;0;0;0;12;10;6;4;2;3;5;60.0;2;2;0;2;11;23;11;0;78.0;933;39;148;585;210;50;933;15;6;40.0;9;60.0;729;3715;2114;39;31;13;11;7;750;61;1;0;0;4;5;1;23;11;10;0;0;0;43;9;10;47.4
2018-09-29;15:00;Matchweek 7;Sat;Home;W;2;0;Brighton;2.7;0.2;79;54152;David Silva;4-3-3;Lee Mason;Match Report;;2018-2019;9;b8fd03ef;d07537b9;d64da66e;2;28;8;28.6;0.07;0.25;15.9;0;0;0;2.7;2.7;0.1;-0.7;-0.7;1;0;1;100.0;1;0.2;0.2;0;0;0;0;0;0;;11;3;0.0;20.1;2;0.0;28.0;5;0;0.0;0;15.0;818;900;90.9;12037;2901;436;457;95.4;277;305;90.8;43;63;68.3;2;2.5;3.5;24;58;28;5;84;900;857;43;12;0;11;29;18;10;0;8;0;818;0;6;52;43;3;2;3;1;0;4;4;0;0;0;0;0;15;10;4;6;5;7;8;87.5;1;4;2;2;12;27;8;0;79.0;1002;28;94;466;445;56;1002;18;13;72.2;5;27.8;764;3867;2318;53;40;9;11;10;814;84;0;0;0;4;10;0;29;12;10;0;0;0;51;14;8;63.6
2018-10-07;16:30;Matchweek 8;Sun;Away;D;0;0;Liverpool;1.0;0.4;51;52117;David Silva;4-2-3-1;Martin Atkinson;Match Report;;2018-2019;9;b8fd03ef;822bd0ba;73e7196e;0;5;2;40.0;0.0;0.0;19.1;0;0;1;1.0;0.3;0.05;-1.0;-0.3;2;0;2;100.0;1;0.5;0.5;0;0;0;0;2;7;28.6;29;7;10.3;24.3;10;40.0;44.3;13;1;7.7;2;14.0;460;570;80.7;7166;2485;242;270;89.6;154;185;83.2;32;62;51.6;0;0.2;0.2;4;18;7;0;36;570;519;46;11;1;4;12;18;6;1;4;0;460;5;7;10;8;0;0;0;1;1;0;0;0;0;0;0;0;16;11;9;6;1;5;9;55.6;4;12;1;11;13;29;25;0;51.0;672;82;224;332;122;17;671;13;7;53.8;6;46.2;452;2384;1239;35;22;5;8;11;457;33;3;0;0;10;10;5;12;13;11;1;0;0;50;17;6;73.9
2018-10-20;15:00;Matchweek 9;Sat;Home;W;5;0;Burnley;4.0;0.4;69;54094;Vincent Kompany;4-3-3;Jonathan Moss;Match Report;;2018-2019;9;b8fd03ef;943e8050;507786df;5;24;10;41.7;0.21;0.5;12.7;0;0;0;4.0;4.0;0.17;1.0;1.0;0;0;0;;1;0.0;0.0;0;0;0;0;3;8;37.5;37;3;13.5;28.3;6;50.0;39.7;9;1;11.1;0;11.0;621;716;86.7;10306;3247;294;320;91.9;235;259;90.7;59;85;69.4;4;3.3;2.7;20;42;20;5;69;716;679;37;5;2;7;19;15;10;2;3;0;621;0;11;44;39;1;1;3;0;0;10;10;0;0;0;0;0;15;8;5;6;4;5;8;62.5;3;7;1;6;7;22;9;0;69.0;805;59;219;352;241;49;805;12;5;41.7;7;58.3;592;2922;1717;31;21;12;9;5;612;69;2;0;0;11;5;0;19;7;8;0;0;0;49;14;15;48.3
2018-10-29;20:00;Matchweek 10;Mon;Away;W;1;0;Tottenham;1.6;0.4;51;56854;David Silva;4-3-3;Kevin Friend;Match Report;;2018-2019;9;b8fd03ef;361ca564;3d0bcdcb;1;13;5;38.5;0.08;0.2;15.7;1;0;0;1.6;1.6;0.12;-0.6;-0.6;1;0;1;100.0;1;0.0;0.0;0;0;0;0;2;16;12.5;32;8;40.6;36.9;5;60.0;50.6;10;0;0.0;1;19.3;446;547;81.5;7458;2328;213;234;91.0;180;205;87.8;36;79;45.6;1;1.4;1.8;9;39;10;0;49;547;507;36;15;1;9;12;9;6;4;0;0;446;4;5;23;18;0;2;2;1;0;2;1;0;1;0;0;0;12;6;4;7;1;3;10;30.0;7;8;0;8;14;26;23;2;51.0;660;66;183;307;174;35;660;23;13;56.5;10;43.5;348;1909;1023;23;15;10;19;7;443;49;2;0;0;13;11;4;12;14;6;0;0;0;55;11;12;47.8
