schedule_Date;schedule_Time;schedule_Round;schedule_Day;schedule_Venue;schedule_Result;schedule_GF;schedule_GA;schedule_Opponent;schedule_xG;schedule_xGA;schedule_Poss;schedule_Attendance;schedule_Captain;schedule_Formation;schedule_Referee;schedule_Match Report;schedule_Notes;schedule_fbref_season;schedule_fbref_league_id;schedule_fbref_squad_id;schedule_fbref_opponent_id;schedule_fbref_match_id;shooting_standard_Gls;shooting_standard_Sh;shooting_standard_SoT;shooting_standard_SoT%;shooting_standard_G/Sh;shooting_standard_G/SoT;shooting_standard_Dist;shooting_standard_FK;shooting_standard_PK;shooting_standard_PKatt;shooting_expected_xG;shooting_expected_npxG;shooting_expected_npxG/Sh;shooting_expected_G-xG;shooting_expected_np:G-xG;keeper_performance_SoTA;keeper_performance_GA;keeper_performance_Saves;keeper_performance_Save%;keeper_performance_CS;keeper_performance_PSxG;keeper_performance_PSxG+/-;keeper_penaltykicks_PKatt;keeper_penaltykicks_PKA;keeper_penaltykicks_PKsv;keeper_penaltykicks_PKm;keeper_launched_Cmp;keeper_launched_Att;keeper_launched_Cmp%;keeper_passes_Att;keeper_passes_Thr;keeper_passes_Launch%;keeper_passes_AvgLen;keeper_goalkicks_Att;keeper_goalkicks_Launch%;keeper_goalkicks_AvgLen;keeper_crosses_Opp;keeper_crosses_Stp;keeper_crosses_Stp%;keeper_sweeper_#OPA;keeper_sweeper_AvgDist;passing_total_Cmp;passing_total_Att;passing_total_Cmp%;passing_total_TotDist;passing_total_PrgDist;passing_short_Cmp;passing_short_Att;passing_short_Cmp%;passing_medium_Cmp;passing_medium_Att;passing_medium_Cmp%;passing_long_Cmp;passing_long_Att;passing_long_Cmp%;passing_attacking_Ast;passing_attacking_xAG;passing_attacking_xA;passing_attacking_KP;passing_attacking_1/3;passing_attacking_PPA;passing_attacking_CrsPA;passing_attacking_PrgP;passing_types_general_Att;passing_types_passtypes_Live;passing_types_passtypes_Dead;passing_types_passtypes_FK;passing_types_passtypes_TB;passing_types_passtypes_Sw;passing_types_passtypes_Crs;passing_types_passtypes_TI;passing_types_passtypes_CK;passing_types_cornerkicks_In;passing_types_cornerkicks_Out;passing_types_cornerkicks_Str;passing_types_outcomes_Cmp;passing_types_outcomes_Off;passing_types_outcomes_Blocks;gca_scatypes_SCA;gca_scatypes_PassLive;gca_scatypes_PassDead;gca_scatypes_TO;gca_scatypes_Sh;gca_scatypes_Fld;gca_scatypes_Def;gca_gcatypes_GCA;gca_gcatypes_PassLive;gca_gcatypes_PassDead;gca_gcatypes_TO;gca_gcatypes_Sh;gca_gcatypes_Fld;gca_gcatypes_Def;defense_tackles_Tkl;defense_tackles_TklW;defense_tackles_Def3rd;defense_tackles_Mid3rd;defense_tackles_Att3rd;defense_challenges_Tkl;defense_challenges_Att;defense_challenges_Tkl%;defense_challenges_Lost;defense_blocks_Blocks;defense_blocks_Sh;defense_blocks_Pass;defense_general_Int;defense_general_Tkl+Int;defense_general_Clr;defense_general_Err;possession_general_Poss;possession_touches_Touches;possession_touches_DefPen;possession_touches_Def3rd;possession_touches_Mid3rd;possession_touches_Att3rd;possession_touches_AttPen;possession_touches_Live;possession_take-ons_Att;possession_take-ons_Succ;possession_take-ons_Succ%;possession_take-ons_Tkld;possession_take-ons_Tkld%;possession_carries_Carries;possession_carries_TotDist;possession_carries_PrgDist;possession_carries_PrgC;possession_carries_1/3;possession_carries_CPA;possession_carries_Mis;possession_carries_Dis;possession_receiving_Rec;possession_receiving_PrgR;misc_performance_CrdY;misc_performance_CrdR;misc_performance_2CrdY;misc_performance_Fls;misc_performance_Fld;misc_performance_Off;misc_performance_Crs;misc_performance_Int;misc_performance_TklW;misc_performance_PKwon;misc_performance_PKcon;misc_performance_OG;misc_performance_Recov;misc_aerialduels_Won;misc_aerialduels_Lost;misc_aerialduels_Won%
2018-08-18;18:00;Matchweek 1;Sat;Away;W;3;2;Chievo;3.1;1.1;72;29500.0;Giorgio Chiellini;4-2-3-1;Fabrizio Pasqua;Match Report;;2018-2019;11;e0652b02;cc919b35;2758c0c0;2;27;10;37.0;0.07;0.2;17.1;1;0;0;3.1;3.1;0.11;-1.1;-1.1;2;2;0;50.0;0;1.5;-0.5;1;1;0;0;6;8;75.0;24;2;29.2;31.0;7;14.3;29.1;6;0;0.0;1;20.0;645;738;87.4;11815;3254;282;298;94.6;259;283;91.5;85;121;70.2;2;2.8;2.3;21;49;13;5;69;738;689;46;8;2;14;34;20;8;4;2;0;645;3;8;51;40;5;3;1;2;0;4;2;1;0;0;1;0;11;4;5;4;2;4;9;44.4;5;3;0;3;8;19;8;0;72.0;826;44;149;463;218;35;826;20;11;55.0;9;45.0;532;2523;1330;27;11;12;9;14;644;68;0;0;0;9;7;3;34;8;4;0;1;0;52;19;11;63.3
2018-08-25;18:00;Matchweek 2;Sat;Home;W;2;0;Lazio;1.6;0.3;55;40171.0;Giorgio Chiellini;4-3-3;Massimiliano Irrati;Match Report;;2018-2019;11;e0652b02;7213da33;2ea4b5a9;2;16;7;43.8;0.13;0.29;19.2;1;0;0;1.6;1.6;0.1;0.4;0.4;2;0;2;100.0;1;0.3;0.3;0;0;0;0;7;12;58.3;20;7;25.0;31.7;9;77.8;54.4;13;0;0.0;2;11.7;463;576;80.4;8089;2392;223;250;89.2;170;207;82.1;59;94;62.8;1;1.1;1.2;12;20;5;1;39;576;532;44;15;0;5;26;13;6;5;0;0;463;0;9;27;21;1;2;2;1;0;2;2;0;0;0;0;0;20;11;10;7;3;9;16;56.3;7;6;1;5;13;33;13;1;55.0;668;44;179;341;154;20;668;11;8;72.7;3;27.3;405;2306;1265;22;20;6;9;11;456;37;3;0;0;11;14;0;26;13;11;0;0;0;61;12;14;46.2
2018-09-01;20:30;Matchweek 3;Sat;Away;W;2;1;Parma;2.3;1.9;65;20814.0;Giorgio Chiellini;4-3-3;Daniele Doveri;Match Report;;2018-2019;11;e0652b02;eab4234c;c43bd14a;2;24;6;25.0;0.08;0.33;18.8;2;0;0;2.3;2.3;0.1;-0.3;-0.3;4;1;3;75.0;0;1.3;0.3;0;0;0;0;3;5;60.0;17;5;23.5;30.1;3;33.3;32.7;9;1;11.1;0;12.0;560;647;86.6;10401;3196;225;245;91.8;252;281;89.7;68;89;76.4;1;1.3;1.0;18;51;15;5;66;647;603;42;15;2;8;34;15;7;3;3;0;560;2;10;43;34;2;2;3;2;0;3;2;0;0;1;0;0;14;8;6;5;3;7;13;53.8;6;9;4;5;10;24;16;0;65.0;743;41;143;347;258;32;743;15;10;66.7;5;33.3;458;2410;1374;23;23;7;8;4;557;66;3;0;0;10;16;2;34;10;8;0;0;0;46;14;10;58.3
2018-09-16;15:00;Matchweek 4;Sun;Home;W;2;1;Sassuolo;2.4;0.8;43;40563.0;Sami Khedira;4-3-1-2;Daniele Chiffi;Match Report;;2018-2019;11;e0652b02;e2befd26;37302313;2;18;4;22.2;0.11;0.5;15.7;1;0;0;2.4;2.4;0.14;-0.4;-0.4;5;1;4;80.0;0;1.3;0.3;0;0;0;0;5;6;83.3;11;1;45.5;35.4;5;20.0;29.4;13;0;0.0;0;15.0;371;445;83.4;6597;2136;146;163;89.6;167;188;88.8;43;65;66.2;1;1.3;1.4;11;23;14;6;37;445;393;51;14;1;5;26;20;10;4;3;0;371;1;8;27;20;1;1;3;1;1;2;2;0;0;0;0;0;13;9;5;4;4;6;10;60.0;4;8;5;3;14;27;15;0;43.0;553;41;144;251;170;33;553;17;10;58.8;7;41.2;342;2045;1172;23;18;5;12;10;370;37;3;1;0;13;15;1;26;14;9;0;0;0;51;7;6;53.8
2018-09-23;20:30;Matchweek 5;Sun;Away;W;2;0;Frosinone;3.0;0.1;72;16000.0;Giorgio Chiellini;4-3-3;Piero Giacomelli;Match Report;;2018-2019;11;e0652b02;6a7ad59d;37d02d43;2;29;7;24.1;0.07;0.29;19.0;2;0;0;3.0;3.0;0.11;-1.0;-1.0;0;0;0;;1;0.0;0.0;0;0;0;0;4;5;80.0;12;3;25.0;28.5;4;50.0;40.0;10;2;20.0;1;12.5;590;683;86.4;10710;2838;267;288;92.7;246;280;87.9;69;94;73.4;1;2.3;2.1;20;72;11;2;67;683;635;47;15;0;11;33;22;5;2;2;0;590;1;5;56;45;2;2;4;3;0;3;1;0;1;1;0;0;15;12;7;6;2;4;6;66.7;2;4;0;4;5;20;11;0;72.0;772;27;99;378;301;44;772;16;10;62.5;6;37.5;568;2686;1547;33;19;13;9;9;587;67;1;0;0;9;13;1;33;5;12;0;0;0;45;14;12;53.8
2018-09-26;21:00;Matchweek 6;Wed;Home;W;2;0;Bologna;1.1;0.3;76;38472.0;Andrea Barzagli;3-5-1-1;Maurizio Mariani;Match Report;;2018-2019;11;e0652b02;1d8099f8;c541e5e5;2;15;8;53.3;0.13;0.25;20.7;1;0;0;1.1;1.1;0.08;0.9;0.9;2;0;2;100.0;1;0.4;0.4;0;0;0;0;3;4;75.0;20;7;20.0;28.6;5;0.0;25.4;5;0;0.0;0;5.7;788;870;90.6;13465;3824;372;391;95.1;289;316;91.5;92;111;82.9;1;0.6;1.1;12;56;10;2;54;870;830;38;13;1;17;19;16;3;2;0;0;788;2;6;28;20;1;2;3;2;0;3;2;0;0;1;0;0;11;7;5;5;1;4;7;57.1;3;7;0;7;11;22;14;1;76.0;954;40;160;552;249;21;954;12;8;66.7;4;33.3;636;3300;1700;27;25;4;11;13;786;54;2;0;0;12;13;2;19;11;7;0;0;0;50;13;19;40.6
2018-09-29;18:00;Matchweek 7;Sat;Home;W;3;1;Napoli;2.8;1.5;51;39252.0;Giorgio Chiellini;4-3-1-2;Luca Banti;Match Report;;2018-2019;11;e0652b02;d48ad4ff;d2cccf44;3;17;9;52.9;0.18;0.33;16.9;1;0;0;2.8;2.8;0.18;0.2;0.2;4;1;3;75.0;0;1.6;0.6;0;0;0;0;5;10;50.0;30;4;33.3;30.0;4;0.0;27.8;8;0;0.0;1;14.7;482;583;82.7;8693;2954;230;252;91.3;190;224;84.8;56;86;65.1;2;2.3;0.7;13;31;6;3;45;583;543;37;10;1;7;22;14;7;4;2;0;482;3;10;26;17;1;2;5;1;0;4;2;0;0;2;0;0;17;9;6;8;3;12;16;75.0;4;24;6;18;10;27;21;1;51.0;698;59;250;296;160;15;698;15;7;46.7;8;53.3;334;1832;836;15;13;1;14;6;477;44;3;0;0;15;10;3;22;10;9;0;0;0;65;12;5;70.6
2018-10-06;18:00;Matchweek 8;Sat;Away;W;2;0;Udinese;2.3;0.7;60;25000.0;Giorgio Chiellini;4-3-3;Rosario Abisso;Match Report;;2018-2019;11;e0652b02;04eea015;ab2feeab;2;21;7;33.3;0.1;0.29;15.7;0;0;0;2.3;2.3;0.11;-0.3;-0.3;2;0;2;100.0;1;0.2;0.2;0;0;0;0;6;11;54.5;19;1;42.1;32.9;4;75.0;50.8;10;1;10.0;0;8.0;592;678;87.3;10866;3113;260;279;93.2;237;255;92.9;76;106;71.7;2;2.2;1.7;17;56;17;3;65;678;630;48;14;1;7;27;21;8;4;2;0;592;0;13;39;29;4;0;4;2;0;4;4;0;0;0;0;0;20;10;6;11;3;5;8;62.5;3;8;4;4;11;31;11;0;60.0;783;37;128;455;203;39;783;10;6;60.0;4;40.0;568;2607;1373;32;20;6;16;8;585;65;1;0;0;15;13;0;27;11;10;0;0;0;46;11;14;44.0
2018-10-20;18:00;Matchweek 9;Sat;Home;D;1;1;Genoa;1.8;1.0;63;37735.0;Leonardo Bonucci;4-3-3;Federico La Penna;Match Report;;2018-2019;11;e0652b02;658bf2de;46e81730;1;21;3;14.3;0.05;0.33;17.8;0;0;0;1.8;1.8;0.09;-0.8;-0.8;2;1;1;50.0;0;1.1;0.1;0;0;0;0;3;7;42.9;16;4;18.8;25.5;7;57.1;51.7;5;0;0.0;1;45.0;565;667;84.7;9708;2744;244;267;91.4;254;281;90.4;49;81;60.5;0;1.2;1.3;18;46;15;5;65;667;612;54;17;1;7;24;20;8;2;4;0;565;1;10;39;27;5;2;4;1;0;1;0;0;0;1;0;0;11;7;3;7;1;2;7;28.6;5;7;2;5;19;30;11;0;63.0;783;33;159;403;228;33;783;19;12;63.2;7;36.8;442;2626;1537;33;24;6;15;9;563;64;1;0;0;10;13;1;24;19;7;0;0;0;52;14;23;37.8
2018-10-27;18:00;Matchweek 10;Sat;Away;W;2;1;Empoli;1.7;0.3;57;15889.0;Paulo Dybala;4-4-2;Giampaolo Calvarese;Match Report;;2018-2019;11;e0652b02;a3d88bd8;8fe69070;2;19;6;31.6;0.05;0.17;20.3;1;1;1;1.7;0.9;0.05;0.3;0.1;2;1;1;50.0;0;0.6;-0.4;0;0;0;0;3;9;33.3;16;7;37.5;33.8;6;50.0;41.5;15;1;6.7;1;15.5;520;596;87.2;9751;2923;228;246;92.7;203;222;91.4;79;105;75.2;1;0.8;1.1;17;68;9;5;65;596;552;43;10;0;16;29;15;10;7;2;0;520;1;6;39;26;4;3;1;4;1;3;2;0;0;0;1;0;16;12;5;7;4;9;15;60.0;6;8;4;4;18;34;24;0;57.0;700;49;138;332;236;26;699;12;10;83.3;2;16.7;380;2429;1187;26;14;5;15;12;518;64;3;0;0;21;13;1;29;18;12;1;0;0;44;11;7;61.1
