schedule_Date;schedule_Time;schedule_Round;schedule_Day;schedule_Venue;schedule_Result;schedule_GF;schedule_GA;schedule_Opponent;schedule_xG;schedule_xGA;schedule_Poss;schedule_Attendance;schedule_Captain;schedule_Formation;schedule_Referee;schedule_Match Report;schedule_Notes;schedule_fbref_season;schedule_fbref_league_id;schedule_fbref_squad_id;schedule_fbref_opponent_id;schedule_fbref_match_id;shooting_standard_Gls;shooting_standard_Sh;shooting_standard_SoT;shooting_standard_SoT%;shooting_standard_G/Sh;shooting_standard_G/SoT;shooting_standard_Dist;shooting_standard_FK;shooting_standard_PK;shooting_standard_PKatt;shooting_expected_xG;shooting_expected_npxG;shooting_expected_npxG/Sh;shooting_expected_G-xG;shooting_expected_np:G-xG;keeper_performance_SoTA;keeper_performance_GA;keeper_performance_Saves;keeper_performance_Save%;keeper_performance_CS;keeper_performance_PSxG;keeper_performance_PSxG+/-;keeper_penaltykicks_PKatt;keeper_penaltykicks_PKA;keeper_penaltykicks_PKsv;keeper_penaltykicks_PKm;keeper_launched_Cmp;keeper_launched_Att;keeper_launched_Cmp%;keeper_passes_Att;keeper_passes_Thr;keeper_passes_Launch%;keeper_passes_AvgLen;keeper_goalkicks_Att;keeper_goalkicks_Launch%;keeper_goalkicks_AvgLen;keeper_crosses_Opp;keeper_crosses_Stp;keeper_crosses_Stp%;keeper_sweeper_#OPA;keeper_sweeper_AvgDist;passing_total_Cmp;passing_total_Att;passing_total_Cmp%;passing_total_TotDist;passing_total_PrgDist;passing_short_Cmp;passing_short_Att;passing_short_Cmp%;passing_medium_Cmp;passing_medium_Att;passing_medium_Cmp%;passing_long_Cmp;passing_long_Att;passing_long_Cmp%;passing_attacking_Ast;passing_attacking_xAG;passing_attacking_xA;passing_attacking_KP;passing_attacking_1/3;passing_attacking_PPA;passing_attacking_CrsPA;passing_attacking_PrgP;passing_types_general_Att;passing_types_passtypes_Live;passing_types_passtypes_Dead;passing_types_passtypes_FK;passing_types_passtypes_TB;passing_types_passtypes_Sw;passing_types_passtypes_Crs;passing_types_passtypes_TI;passing_types_passtypes_CK;passing_types_cornerkicks_In;passing_types_cornerkicks_Out;passing_types_cornerkicks_Str;passing_types_outcomes_Cmp;passing_types_outcomes_Off;passing_types_outcomes_Blocks;gca_scatypes_SCA;gca_scatypes_PassLive;gca_scatypes_PassDead;gca_scatypes_TO;gca_scatypes_Sh;gca_scatypes_Fld;gca_scatypes_Def;gca_gcatypes_GCA;gca_gcatypes_PassLive;gca_gcatypes_PassDead;gca_gcatypes_TO;gca_gcatypes_Sh;gca_gcatypes_Fld;gca_gcatypes_Def;defense_tackles_Tkl;defense_tackles_TklW;defense_tackles_Def3rd;defense_tackles_Mid3rd;defense_tackles_Att3rd;defense_challenges_Tkl;defense_challenges_Att;defense_challenges_Tkl%;defense_challenges_Lost;defense_blocks_Blocks;defense_blocks_Sh;defense_blocks_Pass;defense_general_Int;defense_general_Tkl+Int;defense_general_Clr;defense_general_Err;possession_general_Poss;possession_touches_Touches;possession_touches_DefPen;possession_touches_Def3rd;possession_touches_Mid3rd;possession_touches_Att3rd;possession_touches_AttPen;possession_touches_Live;possession_take-ons_Att;possession_take-ons_Succ;possession_take-ons_Succ%;possession_take-ons_Tkld;possession_take-ons_Tkld%;possession_carries_Carries;possession_carries_TotDist;possession_carries_PrgDist;possession_carries_PrgC;possession_carries_1/3;possession_carries_CPA;possession_carries_Mis;possession_carries_Dis;possession_receiving_Rec;possession_receiving_PrgR;misc_performance_CrdY;misc_performance_CrdR;misc_performance_2CrdY;misc_performance_Fls;misc_performance_Fld;misc_performance_Off;misc_performance_Crs;misc_performance_Int;misc_performance_TklW;misc_performance_PKwon;misc_performance_PKcon;misc_performance_OG;misc_performance_Recov;misc_aerialduels_Won;misc_aerialduels_Lost;misc_aerialduels_Won%
2021-08-15;16:30;Matchweek 1;Sun;Away;L;0;1;Tottenham;1.8;1.0;65;58262;Fernandinho;4-3-3;Anthony Taylor;Match Report;;2021-2022;9;b8fd03ef;361ca564;ff51efc7;0;18;4;22.2;0.0;0.0;17.3;1;0;0;1.8;1.8;0.1;-1.8;-1.8;2;1;1;50.0;0;0.8;-0.2;0;0;0;0;1;2;50.0;16;6;12.5;25.9;5;0.0;22.2;9;1;11.1;0;12.5;493;602;81.9;7528;2608;283;316;89.6;175;204;85.8;24;44;54.5;0;1.2;1.2;13;40;9;2;58;602;552;49;13;3;1;30;17;11;2;3;1;493;1;18;35;29;2;2;1;1;0;0;0;0;0;0;0;0;16;11;4;12;0;5;19;26.3;14;7;5;2;3;19;11;0;65.0;690;37;126;369;201;35;690;27;20;74.1;7;25.9;439;2716;1609;34;21;15;13;8;488;58;1;0;0;8;11;1;30;3;11;0;0;0;53;19;14;57.6
2021-08-21;15:00;Matchweek 2;Sat;Home;W;5;0;Norwich City;2.6;0.1;67;51437;İlkay Gündoğan;4-3-3;Graham Scott;Match Report;;2021-2022;9;b8fd03ef;1c781004;ab6db0d6;4;16;4;25.0;0.25;1.0;18.5;1;0;0;2.6;2.6;0.17;1.4;1.4;0;0;0;;1;0.0;0.0;0;0;0;0;2;2;100.0;13;3;15.4;22.2;2;0.0;23.5;6;0;0.0;3;23.5;709;781;90.8;11832;3037;343;361;95.0;285;310;91.9;58;73;79.5;3;2.3;1.9;11;77;17;0;75;781;741;38;9;2;10;26;20;6;4;0;0;709;2;7;28;21;2;0;2;1;2;7;6;0;0;1;0;0;14;8;2;6;6;7;13;53.8;6;3;0;3;6;20;3;0;67.0;849;21;70;459;323;46;849;15;9;60.0;6;40.0;563;3169;1862;30;15;16;13;12;706;75;1;0;0;13;6;2;26;6;8;0;0;0;38;9;3;75.0
2021-08-28;12:30;Matchweek 3;Sat;Home;W;5;0;Arsenal;4.4;0.2;80;52276;İlkay Gündoğan;4-3-3;Martin Atkinson;Match Report;;2021-2022;9;b8fd03ef;18bb7c10;d4650aa2;5;25;10;40.0;0.2;0.5;14.8;0;0;0;4.4;4.4;0.18;0.6;0.6;0;0;0;;1;0.0;0.0;0;0;0;0;1;6;16.7;33;2;15.2;23.9;4;25.0;36.8;3;0;0.0;4;36.0;721;813;88.7;10729;3207;373;391;95.4;288;319;90.3;32;64;50.0;4;3.8;3.6;21;52;21;6;69;813;760;52;10;8;1;30;23;14;4;2;0;721;1;5;49;45;1;1;1;1;0;10;10;0;0;0;0;0;14;10;2;8;4;6;8;75.0;2;3;0;3;4;18;3;0;80.0;879;34;145;387;350;45;879;14;7;50.0;7;50.0;559;2749;1574;32;27;13;8;2;710;69;1;0;0;5;7;1;30;4;10;0;0;0;45;13;9;59.1
2021-09-11;15:00;Matchweek 4;Sat;Away;W;1;0;Leicester City;2.8;0.6;61;32087;İlkay Gündoğan;4-3-3;Paul Tierney;Match Report;;2021-2022;9;b8fd03ef;a2d435b3;8dd69c8d;1;25;8;32.0;0.04;0.13;14.3;0;0;0;2.8;2.8;0.12;-1.8;-1.8;1;0;1;100.0;1;0.4;0.4;0;0;0;0;3;5;60.0;18;6;22.2;26.1;6;16.7;19.7;9;1;11.1;2;15.8;535;618;86.6;9246;2784;223;245;91.0;247;262;94.3;44;66;66.7;0;2.1;1.9;17;55;18;4;76;618;573;41;6;10;4;31;20;8;5;2;0;535;4;13;42;34;2;0;4;1;1;1;0;0;0;1;0;0;14;7;6;4;4;6;12;50.0;6;7;2;5;5;19;9;0;61.0;712;38;144;346;228;44;712;14;5;35.7;9;64.3;464;2854;1689;23;14;8;16;9;532;76;2;0;0;11;4;4;31;5;7;0;0;0;53;8;12;40.0
2021-09-18;15:00;Matchweek 5;Sat;Home;D;0;0;Southampton;1.0;0.4;64;52698;Fernandinho;4-3-3;Jonathan Moss;Match Report;;2021-2022;9;b8fd03ef;33c895d4;1576c578;0;16;1;6.3;0.0;0.0;16.4;1;0;0;1.0;1.0;0.06;-1.0;-1.0;2;0;2;100.0;1;0.3;0.3;0;0;0;0;1;1;100.0;36;9;2.8;17.8;5;0.0;20.6;11;1;9.1;1;14.8;521;612;85.1;8760;3012;232;257;90.3;223;254;87.8;42;59;71.2;0;0.9;0.8;12;32;11;3;42;612;562;46;11;4;4;23;21;8;3;3;0;521;4;7;31;26;1;2;1;1;0;0;0;0;0;0;0;0;13;10;7;6;0;5;18;27.8;13;13;6;7;8;21;13;0;64.0;729;61;219;343;172;27;729;25;13;52.0;12;48.0;428;2503;1441;30;17;8;18;9;512;42;0;0;0;5;10;4;23;8;10;0;0;0;51;22;15;59.5
2021-09-25;12:30;Matchweek 6;Sat;Away;W;1;0;Chelsea;1.7;0.2;59;40036;Rúben Dias;4-3-3;Michael Oliver;Match Report;;2021-2022;9;b8fd03ef;cff3d9bb;fc59faf7;1;15;3;20.0;0.07;0.33;17.1;0;0;0;1.7;1.7;0.11;-0.7;-0.7;0;0;0;;1;0.0;0.0;0;0;0;0;3;9;33.3;27;4;25.9;32.5;3;66.7;53.7;13;3;23.1;2;15.8;547;645;84.8;9516;2930;228;246;92.7;251;277;90.6;51;84;60.7;1;1.5;0.9;13;44;7;0;50;645;598;43;14;2;2;26;12;13;9;1;0;547;4;14;29;22;3;1;2;1;0;1;0;0;0;1;0;0;16;9;3;7;6;8;18;44.4;10;11;4;7;8;24;17;0;59.0;750;58;164;384;204;31;750;15;9;60.0;6;40.0;386;2257;1188;35;20;13;14;7;543;50;2;0;0;10;12;4;26;8;9;0;0;0;53;9;18;33.3
2021-10-03;16:30;Matchweek 7;Sun;Away;D;2;2;Liverpool;1.2;0.9;51;53102;Rúben Dias;4-3-3;Paul Tierney;Match Report;;2021-2022;9;b8fd03ef;822bd0ba;2598b046;2;12;3;25.0;0.17;0.67;17.0;1;0;0;1.2;1.2;0.1;0.8;0.8;3;2;1;33.3;0;1.8;-0.2;0;0;0;0;3;8;37.5;37;13;21.6;29.5;2;0.0;14.5;16;0;0.0;4;21.0;476;581;81.9;8284;2788;235;264;89.0;165;191;86.4;59;86;68.6;1;1.1;0.9;9;30;13;2;37;581;536;40;11;6;8;14;20;4;2;0;0;476;5;8;23;19;0;2;1;1;0;4;3;0;1;0;0;0;11;9;8;3;0;4;14;28.6;10;9;3;6;8;19;18;0;51.0;670;75;233;312;133;26;670;19;14;73.7;5;26.3;451;2276;1263;29;14;7;16;12;473;37;3;0;0;12;10;5;14;8;9;0;0;0;55;9;9;50.0
2021-10-16;15:00;Matchweek 8;Sat;Home;W;2;0;Burnley;2.1;0.9;70;52711;Kevin De Bruyne;4-3-3;Martin Atkinson;Match Report;;2021-2022;9;b8fd03ef;943e8050;55778d0d;2;15;6;40.0;0.13;0.33;14.4;0;0;0;2.1;2.1;0.15;-0.1;-0.1;2;0;2;100.0;1;0.1;0.1;0;0;0;0;1;6;16.7;32;6;15.6;23.4;7;14.3;19.3;10;0;0.0;3;16.6;711;813;87.5;11067;3210;409;437;93.6;233;259;90.0;50;80;62.5;0;0.9;1.2;9;63;21;1;75;813;776;37;8;1;7;24;15;6;3;0;0;711;0;8;26;23;0;1;2;0;0;3;2;0;0;1;0;0;11;6;5;4;2;7;12;58.3;5;4;1;3;10;21;11;1;70.0;905;80;244;355;312;51;905;18;9;50.0;9;50.0;517;3183;1745;32;20;14;16;8;702;75;1;0;0;11;5;0;24;10;6;0;0;0;53;11;15;42.3
2021-10-23;17:30;Matchweek 9;Sat;Away;W;4;1;Brighton;3.8;1.3;52;31215;İlkay Gündoğan;4-3-3;Kevin Friend;Match Report;;2021-2022;9;b8fd03ef;d07537b9;dc93611c;4;23;12;52.2;0.17;0.33;16.0;1;0;0;3.8;3.8;0.18;0.2;0.2;5;1;4;100.0;0;1.2;0.2;1;1;0;0;3;9;33.3;30;9;13.3;27.8;8;62.5;46.8;13;1;7.7;2;18.3;517;599;86.3;8670;2673;252;274;92.0;189;209;90.4;50;74;67.6;4;3.5;1.0;18;35;8;0;36;599;555;43;11;4;3;7;16;6;2;1;0;517;1;7;40;28;2;3;6;1;0;6;4;0;0;2;0;0;7;3;5;0;2;2;14;14.3;12;10;1;9;8;15;18;0;52.0;699;71;193;318;195;35;699;22;12;54.5;10;45.5;381;2258;1219;27;20;10;12;6;514;35;3;0;0;6;9;1;7;8;3;0;1;0;48;5;14;26.3
2021-10-30;15:00;Matchweek 10;Sat;Home;L;0;2;Crystal Palace;0.7;0.7;68;53014;Rúben Dias;4-3-3;Andre Marriner;Match Report;;2021-2022;9;b8fd03ef;47c64c55;eb6c294f;0;14;3;21.4;0.0;0.0;17.7;0;0;0;0.7;0.7;0.05;-0.7;-0.7;3;2;1;33.3;0;1.4;-0.6;0;0;0;0;3;4;75.0;27;2;14.8;23.9;5;0.0;21.0;4;0;0.0;1;20.0;602;724;83.1;10379;3023;282;314;89.8;245;274;89.4;58;93;62.4;0;0.6;0.9;11;46;14;2;68;724;657;65;16;1;3;32;34;7;0;7;0;602;2;19;25;21;0;1;2;1;0;0;0;0;0;0;0;0;16;10;4;9;3;7;13;53.8;6;6;1;5;6;22;3;1;68.0;807;37;163;383;263;43;807;18;9;50.0;9;50.0;416;2712;1522;34;24;11;12;12;600;68;2;1;0;11;10;2;32;6;10;0;0;0;51;13;14;48.1
