schedule_Date;schedule_Time;schedule_Round;schedule_Day;schedule_Venue;schedule_Result;schedule_GF;schedule_GA;schedule_Opponent;schedule_xG;schedule_xGA;schedule_Poss;schedule_Attendance;schedule_Captain;schedule_Formation;schedule_Referee;schedule_Match Report;schedule_Notes;schedule_fbref_season;schedule_fbref_league_id;schedule_fbref_squad_id;schedule_fbref_opponent_id;schedule_fbref_match_id;shooting_standard_Gls;shooting_standard_Sh;shooting_standard_SoT;shooting_standard_SoT%;shooting_standard_G/Sh;shooting_standard_G/SoT;shooting_standard_Dist;shooting_standard_FK;shooting_standard_PK;shooting_standard_PKatt;shooting_expected_xG;shooting_expected_npxG;shooting_expected_npxG/Sh;shooting_expected_G-xG;shooting_expected_np:G-xG;keeper_performance_SoTA;keeper_performance_GA;keeper_performance_Saves;keeper_performance_Save%;keeper_performance_CS;keeper_performance_PSxG;keeper_performance_PSxG+/-;keeper_penaltykicks_PKatt;keeper_penaltykicks_PKA;keeper_penaltykicks_PKsv;keeper_penaltykicks_PKm;keeper_launched_Cmp;keeper_launched_Att;keeper_launched_Cmp%;keeper_passes_Att;keeper_passes_Thr;keeper_passes_Launch%;keeper_passes_AvgLen;keeper_goalkicks_Att;keeper_goalkicks_Launch%;keeper_goalkicks_AvgLen;keeper_crosses_Opp;keeper_crosses_Stp;keeper_crosses_Stp%;keeper_sweeper_#OPA;keeper_sweeper_AvgDist;passing_total_Cmp;passing_total_Att;passing_total_Cmp%;passing_total_TotDist;passing_total_PrgDist;passing_short_Cmp;passing_short_Att;passing_short_Cmp%;passing_medium_Cmp;passing_medium_Att;passing_medium_Cmp%;passing_long_Cmp;passing_long_Att;passing_long_Cmp%;passing_attacking_Ast;passing_attacking_xAG;passing_attacking_xA;passing_attacking_KP;passing_attacking_1/3;passing_attacking_PPA;passing_attacking_CrsPA;passing_attacking_PrgP;passing_types_general_Att;passing_types_passtypes_Live;passing_types_passtypes_Dead;passing_types_passtypes_FK;passing_types_passtypes_TB;passing_types_passtypes_Sw;passing_types_passtypes_Crs;passing_types_passtypes_TI;passing_types_passtypes_CK;passing_types_cornerkicks_In;passing_types_cornerkicks_Out;passing_types_cornerkicks_Str;passing_types_outcomes_Cmp;passing_types_outcomes_Off;passing_types_outcomes_Blocks;gca_scatypes_SCA;gca_scatypes_PassLive;gca_scatypes_PassDead;gca_scatypes_TO;gca_scatypes_Sh;gca_scatypes_Fld;gca_scatypes_Def;gca_gcatypes_GCA;gca_gcatypes_PassLive;gca_gcatypes_PassDead;gca_gcatypes_TO;gca_gcatypes_Sh;gca_gcatypes_Fld;gca_gcatypes_Def;defense_tackles_Tkl;defense_tackles_TklW;defense_tackles_Def3rd;defense_tackles_Mid3rd;defense_tackles_Att3rd;defense_challenges_Tkl;defense_challenges_Att;defense_challenges_Tkl%;defense_challenges_Lost;defense_blocks_Blocks;defense_blocks_Sh;defense_blocks_Pass;defense_general_Int;defense_general_Tkl+Int;defense_general_Clr;defense_general_Err;possession_general_Poss;possession_touches_Touches;possession_touches_DefPen;possession_touches_Def3rd;possession_touches_Mid3rd;possession_touches_Att3rd;possession_touches_AttPen;possession_touches_Live;possession_take-ons_Att;possession_take-ons_Succ;possession_take-ons_Succ%;possession_take-ons_Tkld;possession_take-ons_Tkld%;possession_carries_Carries;possession_carries_TotDist;possession_carries_PrgDist;possession_carries_PrgC;possession_carries_1/3;possession_carries_CPA;possession_carries_Mis;possession_carries_Dis;possession_receiving_Rec;possession_receiving_PrgR;misc_performance_CrdY;misc_performance_CrdR;misc_performance_2CrdY;misc_performance_Fls;misc_performance_Fld;misc_performance_Off;misc_performance_Crs;misc_performance_Int;misc_performance_TklW;misc_performance_PKwon;misc_performance_PKcon;misc_performance_OG;misc_performance_Recov;misc_aerialduels_Won;misc_aerialduels_Lost;misc_aerialduels_Won%
2020-09-26;20:45;Matchweek 2;Sat;Home;W;4;3;Fiorentina;2.3;2.4;67;1000.0;Samir Handanović;3-4-1-2;Giampaolo Calvarese;Match Report;;2020-2021;11;d609edc0;421387cf;87f435d8;3;21;8;38.1;0.14;0.38;18.3;0.0;0;0;2.3;2.3;0.11;0.7;0.7;4;3.0;1;25.0;0;2.6;-0.4;0;0;0;0;3.0;3.0;100.0;22.0;1.0;9.1;21.8;4.0;25.0;24.8;5.0;0.0;0.0;0.0;16.0;612.0;704.0;86.9;9518.0;3242.0;327.0;357.0;91.6;208.0;239.0;87.0;46.0;63.0;73.0;2;2.1;2.1;19.0;58.0;16.0;3.0;63.0;704.0;656.0;46.0;11.0;3.0;2.0;25;22.0;5.0;1.0;2.0;0.0;612.0;2.0;5.0;38.0;35.0;1.0;1.0;0.0;0.0;1.0;6.0;5.0;1.0;0.0;0.0;0.0;0.0;19.0;8;4.0;10.0;5.0;7.0;19.0;36.8;12.0;6.0;1.0;5.0;12;31;5.0;0.0;67.0;802.0;47.0;142.0;389.0;280.0;32.0;802.0;9.0;4.0;44.4;5.0;55.6;541.0;2733.0;1580.0;27.0;25.0;7.0;17.0;6.0;608.0;63.0;1;0;0;14;11;2;25;12;8;0.0;0.0;0;60.0;16.0;9.0;64.0
2020-09-30;18:00;Matchweek 1;Wed;Away;W;5;2;Benevento;3.6;1.5;66;1000.0;Samir Handanović;3-4-1-2;Marco Piccinini;Match Report;;2020-2021;11;d609edc0;4fcb34fd;1d2d65d6;5;18;8;44.4;0.28;0.63;15.5;1.0;0;0;3.6;3.6;0.21;1.4;1.4;5;2.0;3;60.0;0;1.6;-0.4;0;0;0;0;0.0;2.0;0.0;27.0;4.0;3.7;23.9;6.0;16.7;26.3;14.0;0.0;0.0;3.0;18.2;637.0;706.0;90.2;10763.0;3333.0;309.0;334.0;92.5;253.0;272.0;93.0;62.0;76.0;81.6;4;2.5;2.4;14.0;41.0;9.0;3.0;55.0;706.0;666.0;37.0;10.0;0.0;8.0;8;15.0;1.0;0.0;0.0;0.0;637.0;3.0;4.0;31.0;28.0;0.0;0.0;2.0;1.0;0.0;8.0;7.0;0.0;0.0;1.0;0.0;0.0;7.0;6;2.0;5.0;0.0;2.0;7.0;28.6;5.0;5.0;0.0;5.0;12;19;20.0;1.0;66.0;803.0;73.0;258.0;378.0;172.0;30.0;803.0;11.0;5.0;45.5;6.0;54.5;416.0;2168.0;1216.0;21.0;14.0;6.0;12.0;6.0;631.0;55.0;0;0;0;15;10;3;8;12;6;0.0;0.0;0;46.0;8.0;7.0;53.3
2020-10-04;15:00;Matchweek 3;Sun;Away;D;1;1;Lazio;0.6;1.2;60;1000.0;Samir Handanović;3-4-1-2;Marco Guida;Match Report;;2020-2021;11;d609edc0;7213da33;f89e07c4;1;12;3;25.0;0.08;0.33;16.9;0.0;0;0;0.6;0.6;0.05;0.4;0.4;4;1.0;3;75.0;0;0.8;-0.2;0;0;0;0;1.0;1.0;100.0;13.0;3.0;7.7;22.8;8.0;0.0;24.4;12.0;0.0;0.0;0.0;17.0;545.0;645.0;84.5;10269.0;2796.0;221.0;244.0;90.6;252.0;286.0;88.1;65.0;89.0;73.0;1;0.6;1.0;11.0;48.0;11.0;5.0;58.0;645.0;598.0;47.0;14.0;1.0;10.0;30;15.0;8.0;3.0;1.0;0.0;545.0;0.0;11.0;23.0;19.0;1.0;3.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;15.0;7;4.0;5.0;6.0;8.0;15.0;53.3;7.0;9.0;2.0;7.0;10;25;10.0;0.0;60.0;727.0;45.0;127.0;394.0;216.0;24.0;727.0;22.0;13.0;59.1;9.0;40.9;433.0;2331.0;1295.0;24.0;15.0;7.0;12.0;7.0;538.0;58.0;4;1;0;13;14;0;30;10;7;0.0;0.0;0;54.0;8.0;13.0;38.1
2020-10-17;18:00;Matchweek 4;Sat;Home;L;1;2;Milan;2.8;2.1;55;1000.0;Samir Handanović;3-1-4-2;Maurizio Mariani;Match Report;;2020-2021;11;d609edc0;dc56fe14;c51b8075;1;18;5;27.8;0.06;0.2;13.7;0.0;0;0;2.8;2.8;0.15;-1.8;-1.8;4;2.0;1;50.0;0;1.5;-0.5;1;0;1;0;6.0;9.0;66.7;31.0;6.0;22.6;29.4;5.0;40.0;35.2;11.0;1.0;9.1;1.0;14.5;396.0;492.0;80.5;6856.0;3010.0;185.0;225.0;82.2;148.0;169.0;87.6;44.0;64.0;68.8;0;2.1;2.1;15.0;32.0;18.0;5.0;55.0;492.0;444.0;46.0;13.0;3.0;4.0;18;20.0;3.0;3.0;0.0;0.0;396.0;2.0;7.0;33.0;30.0;1.0;2.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;11.0;7;4.0;6.0;1.0;5.0;16.0;31.3;11.0;8.0;1.0;7.0;14;25;11.0;0.0;55.0;594.0;62.0;182.0;252.0;166.0;36.0;594.0;23.0;12.0;52.2;11.0;47.8;353.0;2025.0;1104.0;18.0;13.0;4.0;21.0;3.0;387.0;53.0;3;0;0;18;11;2;18;14;7;0.0;1.0;0;44.0;15.0;25.0;37.5
2020-10-24;18:00;Matchweek 5;Sat;Away;W;2;0;Genoa;1.7;0.0;60;1000.0;Samir Handanović;3-4-1-2;Davide Massa;Match Report;;2020-2021;11;d609edc0;658bf2de;66c85475;2;14;4;28.6;0.14;0.5;15.5;0.0;0;0;1.7;1.7;0.12;0.3;0.3;0;0.0;0;;1;0.0;0.0;0;0;0;0;2.0;5.0;40.0;25.0;0.0;20.0;28.2;1.0;0.0;24.0;5.0;0.0;0.0;0.0;9.5;592.0;705.0;84.0;10387.0;3441.0;261.0;290.0;90.0;254.0;289.0;87.9;63.0;91.0;69.2;2;1.7;1.0;13.0;56.0;10.0;3.0;67.0;705.0;656.0;47.0;13.0;0.0;1.0;27;23.0;9.0;3.0;5.0;0.0;592.0;2.0;10.0;26.0;21.0;2.0;2.0;1.0;0.0;0.0;3.0;1.0;0.0;1.0;1.0;0.0;0.0;16.0;9;3.0;8.0;5.0;7.0;16.0;43.8;9.0;9.0;0.0;9.0;12;28;7.0;0.0;60.0;814.0;36.0;150.0;420.0;251.0;24.0;814.0;17.0;9.0;52.9;8.0;47.1;429.0;2015.0;1108.0;17.0;16.0;5.0;20.0;7.0;586.0;67.0;1;0;0;17;11;2;27;12;9;0.0;0.0;0;70.0;16.0;14.0;53.3
2020-10-31;18:00;Matchweek 6;Sat;Home;D;2;2;Parma;2.9;0.9;68;;Samir Handanović;3-4-1-2;Marco Piccinini;Match Report;;2020-2021;11;d609edc0;eab4234c;6e9788e7;2;25;9;36.0;0.08;0.22;18.5;0.0;0;0;2.9;2.9;0.12;-0.9;-0.9;3;2.0;1;33.3;0;1.7;-0.3;0;0;0;0;1.0;1.0;100.0;12.0;5.0;8.3;22.0;1.0;0.0;12.0;5.0;0.0;0.0;2.0;22.7;561.0;669.0;83.9;9935.0;2890.0;250.0;279.0;89.6;247.0;272.0;90.8;54.0;86.0;62.8;2;2.8;2.2;21.0;71.0;13.0;4.0;82.0;669.0;617.0;49.0;9.0;2.0;8.0;46;21.0;15.0;9.0;3.0;0.0;561.0;3.0;14.0;46.0;31.0;7.0;3.0;3.0;1.0;1.0;4.0;1.0;1.0;1.0;0.0;1.0;0.0;11.0;7;2.0;5.0;4.0;6.0;13.0;46.2;7.0;9.0;1.0;8.0;16;27;5.0;0.0;68.0;773.0;18.0;67.0;384.0;331.0;36.0;773.0;19.0;8.0;42.1;11.0;57.9;435.0;2514.0;1627.0;28.0;29.0;1.0;24.0;13.0;554.0;80.0;1;0;0;13;7;3;46;16;7;0.0;0.0;0;63.0;19.0;20.0;48.7
2020-11-08;15:00;Matchweek 7;Sun;Away;D;1;1;Atalanta;0.9;1.0;48;;Samir Handanović;3-5-2;Daniele Doveri;Match Report;;2020-2021;11;d609edc0;922493f3;f34a17fc;1;10;3;30.0;0.1;0.33;16.7;0.0;0;0;0.9;0.9;0.09;0.1;0.1;2;1.0;1;50.0;0;0.6;-0.4;0;0;0;0;1.0;4.0;25.0;23.0;3.0;13.0;22.6;4.0;25.0;26.0;9.0;0.0;0.0;0.0;1.0;448.0;526.0;85.2;7016.0;2387.0;216.0;234.0;92.3;180.0;206.0;87.4;25.0;47.0;53.2;1;0.6;0.6;5.0;24.0;7.0;2.0;29.0;526.0;481.0;45.0;16.0;0.0;0.0;15;18.0;5.0;2.0;2.0;0.0;448.0;0.0;6.0;18.0;15.0;1.0;0.0;1.0;1.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;16.0;6;4.0;8.0;4.0;11.0;17.0;64.7;6.0;11.0;3.0;8.0;5;21;15.0;0.0;48.0;617.0;59.0;220.0;281.0;121.0;21.0;617.0;11.0;3.0;27.3;8.0;72.7;400.0;1795.0;904.0;13.0;10.0;3.0;13.0;8.0;446.0;29.0;3;0;0;13;14;0;15;5;6;0.0;0.0;0;47.0;5.0;8.0;38.5
2020-11-22;15:00;Matchweek 8;Sun;Home;W;4;2;Torino;4.0;2.1;56;;Samir Handanović;3-5-2;Federico La Penna;Match Report;;2020-2021;11;d609edc0;105360fe;1e1de965;4;12;3;25.0;0.25;1.0;14.1;0.0;1;1;4.0;3.2;0.29;0.0;-0.2;6;2.0;4;83.3;0;2.7;0.7;1;1;0;0;1.0;1.0;100.0;17.0;6.0;5.9;27.9;6.0;0.0;19.3;7.0;0.0;0.0;1.0;20.0;482.0;564.0;85.5;8650.0;2899.0;192.0;211.0;91.0;245.0;268.0;91.4;35.0;59.0;59.3;3;3.5;2.2;10.0;38.0;14.0;1.0;55.0;564.0;519.0;41.0;13.0;2.0;1.0;20;18.0;1.0;0.0;1.0;0.0;482.0;4.0;6.0;22.0;14.0;3.0;0.0;2.0;3.0;0.0;6.0;4.0;0.0;0.0;1.0;1.0;0.0;23.0;8;7.0;10.0;6.0;9.0;24.0;37.5;15.0;10.0;2.0;8.0;10;33;3.0;0.0;56.0;660.0;46.0;152.0;336.0;178.0;31.0;659.0;14.0;8.0;57.1;6.0;42.9;469.0;2283.0;1302.0;14.0;12.0;3.0;15.0;9.0;479.0;55.0;3;0;0;20;12;4;20;10;8;1.0;1.0;0;45.0;13.0;12.0;52.0
2020-11-28;15:00;Matchweek 9;Sat;Away;W;3;0;Sassuolo;1.2;0.7;35;;Samir Handanović;3-5-2;Massimiliano Irrati;Match Report;;2020-2021;11;d609edc0;e2befd26;a1946d0e;2;11;4;36.4;0.18;0.5;17.1;0.0;0;0;1.2;1.2;0.11;0.8;0.8;3;0.0;3;100.0;1;0.4;0.4;0;0;0;0;8.0;13.0;61.5;28.0;6.0;32.1;29.4;5.0;80.0;48.0;16.0;1.0;6.3;0.0;6.0;322.0;397.0;81.1;6581.0;2320.0;136.0;157.0;86.6;132.0;150.0;88.0;53.0;79.0;67.1;2;1.1;1.1;8.0;17.0;9.0;3.0;23.0;397.0;360.0;35.0;14.0;1.0;8.0;8;13.0;2.0;2.0;0.0;0.0;322.0;2.0;5.0;18.0;16.0;0.0;0.0;1.0;0.0;1.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;19.0;13;15.0;3.0;1.0;9.0;24.0;37.5;15.0;17.0;5.0;12.0;15;34;31.0;0.0;35.0;510.0;80.0;248.0;175.0;91.0;18.0;510.0;10.0;7.0;70.0;3.0;30.0;280.0;1540.0;868.0;13.0;10.0;1.0;9.0;7.0;319.0;23.0;1;0;0;16;11;2;8;15;13;0.0;0.0;0;45.0;6.0;6.0;50.0
2020-12-05;20:45;Matchweek 10;Sat;Home;W;3;1;Bologna;2.0;1.4;46;;Samir Handanović;3-5-2;Paolo Valeri;Match Report;;2020-2021;11;d609edc0;1d8099f8;f124eb7b;3;14;7;50.0;0.21;0.43;15.0;1.0;0;0;2.0;2.0;0.15;1.0;1.0;7;1.0;6;85.7;0;1.3;0.3;0;0;0;0;3.0;14.0;21.4;26.0;5.0;42.3;37.5;4.0;75.0;53.5;13.0;0.0;0.0;1.0;26.0;414.0;506.0;81.8;7215.0;2165.0;172.0;194.0;88.7;168.0;184.0;91.3;48.0;89.0;53.9;3;1.9;1.1;11.0;37.0;8.0;4.0;33.0;506.0;463.0;41.0;12.0;2.0;2.0;20;16.0;7.0;1.0;4.0;0.0;414.0;2.0;4.0;22.0;18.0;3.0;0.0;1.0;0.0;0.0;6.0;6.0;0.0;0.0;0.0;0.0;0.0;10.0;7;4.0;4.0;2.0;5.0;8.0;62.5;3.0;9.0;2.0;7.0;7;17;15.0;1.0;46.0;592.0;54.0;170.0;268.0;159.0;22.0;592.0;11.0;6.0;54.5;5.0;45.5;307.0;1750.0;994.0;21.0;11.0;6.0;9.0;7.0;408.0;33.0;1;0;0;12;11;2;20;7;7;0.0;0.0;0;51.0;11.0;9.0;55.0
