squad_name;n_players;pct_estimated;squad_id;season_str;weekly_wages_eur;weekly_wages_gbp;weekly_wages_usd;annual_wages_eur;annual_wages_gbp;annual_wages_usd
Sassuolo;85;2%;e2befd26;2020-2021;608269;510039;619894;31630000;26522016;32234502
Sampdoria;79;3%;8ff9e3b3;2020-2021;587885;492946;599120;30570000;25633200;31154244
Udinese;96;15%;04eea015;2020-2021;572308;479885;583245;29760000;24954007;30328763
Hellas Verona;100;17%;0e72edf2;2020-2021;559615;469242;570311;29100000;24400593;29656151
Spezia;103;12%;68449f6d;2020-2021;386923;324438;394318;20120000;16870791;20504529
Crotone;93;6%;3074d7b1;2020-2021;365192;306217;372172;18990000;15923274;19352928
Juventus;76;0%;e0652b02;2021-2022;3479808;2917848;3546313;180950000;151728092;184408264
Inter;81;9%;d609edc0;2021-2022;2950769;2474245;3007163;153440000;128660726;156372498
Napoli;78;8%;d48ad4ff;2021-2022;1989231;1667987;2027248;103440000;86735304;105416919
Roma;93;11%;cf74a709;2021-2022;1914423;1605260;1951011;99550000;83473512;101452572
Milan;86;2%;dc56fe14;2021-2022;1684423;1412403;1716615;87590000;73444949;89263995
Lazio;90;4%;7213da33;2021-2022;1508462;1264858;1537291;78440000;65772599;79939123
Fiorentina;85;13%;421387cf;2021-2022;1128846;946547;1150420;58700000;49220441;59821859
Torino;88;17%;105360fe;2021-2022;1029808;863502;1049489;53550000;44902122;54573434
Atalanta;76;7%;922493f3;2021-2022;891346;747401;908381;46350000;38864860;47235829
Genoa;106;38%;658bf2de;2021-2022;813462;682094;829008;42300000;35468904;43108428
Sampdoria;86;14%;8ff9e3b3;2021-2022;721154;604694;734936;37500000;31444064;38216686
Empoli;87;16%;a3d88bd8;2021-2022;710192;595502;723765;36930000;30966112;37635795
Cagliari;86;33%;c4260e09;2021-2022;649231;544385;661639;33760000;28308043;34405212
Bologna;90;30%;1d8099f8;2021-2022;579423;485851;590497;30130000;25264256;30705835
Sassuolo;86;17%;e2befd26;2021-2022;533846;447634;544049;27760000;23276991;28290540
Salernitana;102;48%;c5577084;2021-2022;443269;371685;451741;23050000;19327618;23490524
Venezia;105;35%;af5d5982;2021-2022;440962;369750;449389;22930000;19226999;23368232
Udinese;86;38%;04eea015;2021-2022;430962;361365;439198;22410000;18790971;22838290
Hellas Verona;85;22%;0e72edf2;2021-2022;413269;346530;421168;21490000;18019544;21900711
Spezia;89;33%;68449f6d;2021-2022;318462;267033;324548;16560000;13885700;16876489
Juventus;31;7%;e0652b02;2022-2023;3055385;2749708;2940015;158880000;142984792;152880784
Inter;29;4%;d609edc0;2022-2023;2427115;2184294;2335469;126210000;113583275;121444385
Roma;29;4%;cf74a709;2022-2023;1751154;1575959;1685031;91060000;81949868;87621627
Milan;31;3%;dc56fe14;2022-2023;1554231;1398737;1495544;80820000;72734331;77768283
Lazio;26;0%;7213da33;2022-2023;1355000;1219439;1303836;70460000;63410803;67799474
Napoli;27;4%;d48ad4ff;2022-2023;1306538;1175825;1257204;67940000;61142916;65374624
Fiorentina;28;0%;421387cf;2022-2023;988462;889571;951138;51400000;46257669;49459166
Atalanta;26;15%;922493f3;2022-2023;766923;690196;737965;39880000;35890191;38374155
Monza;37;70%;21680aa4;2022-2023;682885;614565;657099;35510000;31957388;34169163
Torino;27;20%;105360fe;2022-2023;543077;488745;522571;28240000;25414718;27173675
Sassuolo;29;25%;e2befd26;2022-2023;522885;470572;503141;27190000;24469768;26163323
Bologna;30;35%;1d8099f8;2022-2023;505577;454996;486487;26290000;23659807;25297306
Sampdoria;29;23%;8ff9e3b3;2022-2023;381346;343194;366947;19830000;17846099;19081231
Salernitana;29;48%;c5577084;2022-2023;324423;291966;312173;16870000;15182235;16232998
Empoli;29;32%;a3d88bd8;2022-2023;284423;255968;273683;14790000;13310330;14231538
Hellas Verona;29;37%;0e72edf2;2022-2023;221538;199375;213173;11520000;10367479;11085012
Spezia;27;26%;68449f6d;2022-2023;180769;162684;173944;9400000;8459572;9045063
Udinese;27;38%;04eea015;2022-2023;177115;159396;170428;9210000;8288583;8862235
Cremonese;31;83%;9aad3a77;2022-2023;171538;154377;165061;8920000;8027595;8583186
Lecce;30;35%;ffcbe334;2022-2023;76538;68881;73648;3980000;3581818;3829716
