schedule_Date;schedule_Time;schedule_Round;schedule_Day;schedule_Venue;schedule_Result;schedule_GF;schedule_GA;schedule_Opponent;schedule_xG;schedule_xGA;schedule_Poss;schedule_Attendance;schedule_Captain;schedule_Formation;schedule_Referee;schedule_Match Report;schedule_Notes;schedule_fbref_season;schedule_fbref_league_id;schedule_fbref_squad_id;schedule_fbref_opponent_id;schedule_fbref_match_id;shooting_standard_Gls;shooting_standard_Sh;shooting_standard_SoT;shooting_standard_SoT%;shooting_standard_G/Sh;shooting_standard_G/SoT;shooting_standard_Dist;shooting_standard_FK;shooting_standard_PK;shooting_standard_PKatt;shooting_expected_xG;shooting_expected_npxG;shooting_expected_npxG/Sh;shooting_expected_G-xG;shooting_expected_np:G-xG;keeper_performance_SoTA;keeper_performance_GA;keeper_performance_Saves;keeper_performance_Save%;keeper_performance_CS;keeper_performance_PSxG;keeper_performance_PSxG+/-;keeper_penaltykicks_PKatt;keeper_penaltykicks_PKA;keeper_penaltykicks_PKsv;keeper_penaltykicks_PKm;keeper_launched_Cmp;keeper_launched_Att;keeper_launched_Cmp%;keeper_passes_Att;keeper_passes_Thr;keeper_passes_Launch%;keeper_passes_AvgLen;keeper_goalkicks_Att;keeper_goalkicks_Launch%;keeper_goalkicks_AvgLen;keeper_crosses_Opp;keeper_crosses_Stp;keeper_crosses_Stp%;keeper_sweeper_#OPA;keeper_sweeper_AvgDist;passing_total_Cmp;passing_total_Att;passing_total_Cmp%;passing_total_TotDist;passing_total_PrgDist;passing_short_Cmp;passing_short_Att;passing_short_Cmp%;passing_medium_Cmp;passing_medium_Att;passing_medium_Cmp%;passing_long_Cmp;passing_long_Att;passing_long_Cmp%;passing_attacking_Ast;passing_attacking_xAG;passing_attacking_xA;passing_attacking_KP;passing_attacking_1/3;passing_attacking_PPA;passing_attacking_CrsPA;passing_attacking_PrgP;passing_types_general_Att;passing_types_passtypes_Live;passing_types_passtypes_Dead;passing_types_passtypes_FK;passing_types_passtypes_TB;passing_types_passtypes_Sw;passing_types_passtypes_Crs;passing_types_passtypes_TI;passing_types_passtypes_CK;passing_types_cornerkicks_In;passing_types_cornerkicks_Out;passing_types_cornerkicks_Str;passing_types_outcomes_Cmp;passing_types_outcomes_Off;passing_types_outcomes_Blocks;gca_scatypes_SCA;gca_scatypes_PassLive;gca_scatypes_PassDead;gca_scatypes_TO;gca_scatypes_Sh;gca_scatypes_Fld;gca_scatypes_Def;gca_gcatypes_GCA;gca_gcatypes_PassLive;gca_gcatypes_PassDead;gca_gcatypes_TO;gca_gcatypes_Sh;gca_gcatypes_Fld;gca_gcatypes_Def;defense_tackles_Tkl;defense_tackles_TklW;defense_tackles_Def3rd;defense_tackles_Mid3rd;defense_tackles_Att3rd;defense_challenges_Tkl;defense_challenges_Att;defense_challenges_Tkl%;defense_challenges_Lost;defense_blocks_Blocks;defense_blocks_Sh;defense_blocks_Pass;defense_general_Int;defense_general_Tkl+Int;defense_general_Clr;defense_general_Err;possession_general_Poss;possession_touches_Touches;possession_touches_DefPen;possession_touches_Def3rd;possession_touches_Mid3rd;possession_touches_Att3rd;possession_touches_AttPen;possession_touches_Live;possession_take-ons_Att;possession_take-ons_Succ;possession_take-ons_Succ%;possession_take-ons_Tkld;possession_take-ons_Tkld%;possession_carries_Carries;possession_carries_TotDist;possession_carries_PrgDist;possession_carries_PrgC;possession_carries_1/3;possession_carries_CPA;possession_carries_Mis;possession_carries_Dis;possession_receiving_Rec;possession_receiving_PrgR;misc_performance_CrdY;misc_performance_CrdR;misc_performance_2CrdY;misc_performance_Fls;misc_performance_Fld;misc_performance_Off;misc_performance_Crs;misc_performance_Int;misc_performance_TklW;misc_performance_PKwon;misc_performance_PKcon;misc_performance_OG;misc_performance_Recov;misc_aerialduels_Won;misc_aerialduels_Lost;misc_aerialduels_Won%
2018-08-12;21:00;Matchweek 1;Sun;Home;W;3.0;0.0;Caen;3.0;0.2;65.0;47289.0;Thiago Silva;4-3-3;Benoît Bastien;Match Report;;2018-2019;13;e2d8892c;74229020;ed566f34;3.0;11.0;8.0;72.7;0.27;0.38;15.2;2.0;0.0;0.0;3.0;3.0;0.28;0.0;0.0;1.0;0.0;1.0;100.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;100.0;15.0;6.0;6.7;21.1;2.0;0.0;23.5;8.0;0.0;0.0;1.0;18.5;742.0;819.0;90.6;11608.0;3214.0;413.0;444.0;93.0;245.0;266.0;92.1;54.0;66.0;81.8;2.0;1.8;2.2;6.0;62.0;10.0;1.0;63.0;819.0;783.0;35.0;8.0;6.0;5.0;12.0;18.0;6.0;4.0;0.0;0.0;742.0;1.0;5.0;19.0;13.0;2.0;2.0;0.0;2.0;0.0;3.0;2.0;0.0;1.0;0.0;0.0;0.0;16.0;7.0;5.0;8.0;3.0;5.0;9.0;55.6;4.0;7.0;2.0;5.0;7.0;23.0;13.0;0.0;65.0;920.0;29.0;131.0;584.0;209.0;25.0;920.0;25.0;14.0;56.0;11.0;44.0;611.0;2939.0;1482.0;22.0;18.0;8.0;18.0;13.0;741.0;63.0;1.0;0.0;0.0;13.0;7.0;1.0;12.0;7.0;7.0;0.0;0.0;0.0;50.0;8.0;10.0;44.4
2018-08-18;17:00;Matchweek 2;Sat;Away;W;3.0;1.0;Guingamp;2.6;1.1;65.0;19003.0;Thiago Silva;4-3-3;Clément Turpin;Match Report;;2018-2019;13;e2d8892c;d41b5f53;6f2eb060;3.0;16.0;5.0;31.3;0.13;0.4;17.9;1.0;1.0;1.0;2.6;1.8;0.11;0.4;0.2;3.0;1.0;2.0;66.7;0.0;1.2;0.2;0.0;0.0;0.0;0.0;2.0;3.0;66.7;10.0;3.0;0.0;13.9;9.0;33.3;32.6;10.0;0.0;0.0;1.0;20.3;541.0;631.0;85.7;8364.0;3195.0;271.0;295.0;91.9;193.0;216.0;89.4;37.0;58.0;63.8;2.0;1.6;1.2;13.0;36.0;8.0;0.0;59.0;631.0;586.0;44.0;15.0;7.0;2.0;11.0;11.0;7.0;5.0;0.0;0.0;541.0;1.0;11.0;33.0;20.0;4.0;4.0;1.0;3.0;1.0;6.0;4.0;0.0;1.0;0.0;1.0;0.0;30.0;18.0;12.0;11.0;7.0;12.0;23.0;52.2;11.0;9.0;3.0;6.0;10.0;40.0;16.0;2.0;65.0;750.0;47.0;184.0;382.0;189.0;22.0;749.0;18.0;14.0;77.8;4.0;22.2;453.0;2278.0;1327.0;23.0;16.0;6.0;25.0;11.0;535.0;58.0;1.0;0.0;0.0;16.0;15.0;1.0;11.0;10.0;18.0;1.0;0.0;0.0;58.0;15.0;14.0;51.7
2018-08-25;17:00;Matchweek 3;Sat;Home;W;3.0;1.0;Angers;1.8;1.5;59.0;47105.0;Thiago Silva;3-4-1-2;Jérôme Miguelgorry;Match Report;;2018-2019;13;e2d8892c;69236f98;8f368053;3.0;13.0;5.0;38.5;0.23;0.6;15.7;0.0;0.0;0.0;1.8;1.8;0.13;1.2;1.2;6.0;1.0;5.0;100.0;0.0;2.2;1.2;1.0;1.0;0.0;0.0;2.0;2.0;100.0;19.0;8.0;10.5;19.6;5.0;0.0;25.2;7.0;2.0;28.6;1.0;12.0;636.0;731.0;87.0;9461.0;2862.0;332.0;362.0;91.7;240.0;264.0;90.9;30.0;52.0;57.7;2.0;1.0;1.6;10.0;59.0;16.0;3.0;56.0;731.0;694.0;31.0;2.0;8.0;2.0;25.0;13.0;9.0;3.0;2.0;0.0;636.0;6.0;6.0;21.0;18.0;0.0;3.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;25.0;18.0;9.0;13.0;3.0;3.0;12.0;25.0;9.0;11.0;2.0;9.0;17.0;42.0;20.0;0.0;59.0;854.0;45.0;131.0;438.0;295.0;34.0;854.0;26.0;16.0;61.5;10.0;38.5;543.0;2884.0;1631.0;26.0;27.0;9.0;13.0;18.0;631.0;55.0;2.0;0.0;0.0;10.0;1.0;6.0;25.0;17.0;18.0;0.0;1.0;0.0;61.0;7.0;7.0;50.0
2018-09-01;17:00;Matchweek 4;Sat;Away;W;4.0;2.0;Nîmes;2.2;1.3;60.0;15311.0;Thiago Silva;4-2-3-1;Jérôme Brisard;Match Report;;2018-2019;13;e2d8892c;1cbf5f9e;8b39eed5;4.0;7.0;5.0;71.4;0.57;0.8;14.2;0.0;0.0;0.0;2.2;2.2;0.31;1.8;1.8;6.0;2.0;4.0;83.3;0.0;2.3;0.3;1.0;1.0;0.0;0.0;0.0;2.0;0.0;21.0;8.0;4.8;21.5;7.0;14.3;31.1;16.0;0.0;0.0;0.0;;463.0;554.0;83.6;7784.0;2619.0;206.0;238.0;86.6;200.0;226.0;88.5;39.0;59.0;66.1;3.0;2.2;1.4;6.0;28.0;5.0;0.0;41.0;554.0;500.0;52.0;13.0;3.0;4.0;9.0;26.0;3.0;1.0;0.0;1.0;463.0;2.0;7.0;14.0;9.0;3.0;0.0;1.0;0.0;1.0;8.0;6.0;1.0;0.0;0.0;0.0;1.0;24.0;15.0;12.0;10.0;2.0;6.0;14.0;42.9;8.0;12.0;2.0;10.0;10.0;34.0;19.0;1.0;60.0;674.0;61.0;218.0;362.0;103.0;12.0;673.0;21.0;10.0;47.6;10.0;47.6;454.0;2561.0;1394.0;23.0;15.0;3.0;18.0;10.0;457.0;40.0;3.0;1.0;0.0;11.0;11.0;2.0;9.0;10.0;15.0;0.0;1.0;0.0;54.0;6.0;6.0;50.0
2018-09-14;20:45;Matchweek 5;Fri;Home;W;4.0;0.0;Saint-Étienne;2.5;1.0;64.0;46549.0;Thiago Silva;4-3-3;Franck Schneider;Match Report;;2018-2019;13;e2d8892c;d298ef2c;b276f74c;4.0;15.0;8.0;53.3;0.2;0.38;18.7;0.0;1.0;1.0;2.5;1.7;0.12;1.5;1.3;2.0;0.0;2.0;100.0;1.0;0.1;0.1;0.0;0.0;0.0;0.0;2.0;3.0;66.7;16.0;7.0;12.5;25.3;9.0;11.1;25.3;18.0;1.0;5.6;1.0;12.7;613.0;699.0;87.7;9021.0;2988.0;338.0;362.0;93.4;193.0;217.0;88.9;40.0;60.0;66.7;2.0;1.5;1.3;14.0;40.0;15.0;1.0;54.0;699.0;662.0;36.0;12.0;5.0;4.0;16.0;7.0;7.0;1.0;3.0;0.0;613.0;1.0;4.0;31.0;24.0;2.0;0.0;4.0;1.0;0.0;7.0;4.0;0.0;0.0;2.0;1.0;0.0;9.0;5.0;3.0;4.0;2.0;3.0;10.0;30.0;7.0;4.0;3.0;1.0;9.0;18.0;9.0;0.0;64.0;772.0;45.0;146.0;434.0;196.0;34.0;771.0;5.0;4.0;80.0;1.0;20.0;528.0;2895.0;1697.0;26.0;24.0;5.0;13.0;11.0;610.0;53.0;1.0;0.0;0.0;12.0;13.0;1.0;16.0;9.0;5.0;1.0;0.0;0.0;51.0;16.0;4.0;80.0
2018-09-23;15:00;Matchweek 6;Sun;Away;W;3.0;1.0;Rennes;1.6;1.3;61.0;29205.0;Marquinhos;4-3-3;Hakim Ben El Hadj Salem;Match Report;;2018-2019;13;e2d8892c;b3072e00;0a64d71f;3.0;15.0;4.0;26.7;0.2;0.75;22.7;0.0;0.0;0.0;1.6;1.6;0.12;1.4;1.4;4.0;1.0;4.0;75.0;0.0;0.7;0.7;0.0;0.0;0.0;0.0;3.0;6.0;50.0;23.0;8.0;4.3;20.3;9.0;55.6;41.6;13.0;0.0;0.0;1.0;9.3;493.0;571.0;86.3;7117.0;2425.0;274.0;290.0;94.5;151.0;177.0;85.3;28.0;44.0;63.6;3.0;0.7;1.2;11.0;38.0;10.0;1.0;49.0;571.0;525.0;42.0;14.0;6.0;2.0;11.0;13.0;4.0;2.0;0.0;0.0;493.0;4.0;8.0;27.0;20.0;1.0;3.0;2.0;1.0;0.0;6.0;5.0;1.0;0.0;0.0;0.0;0.0;12.0;5.0;3.0;8.0;1.0;7.0;12.0;58.3;5.0;2.0;1.0;1.0;3.0;15.0;21.0;1.0;61.0;661.0;61.0;164.0;337.0;165.0;20.0;661.0;15.0;10.0;66.7;5.0;33.3;405.0;2466.0;1381.0;26.0;23.0;4.0;8.0;10.0;485.0;47.0;3.0;0.0;0.0;17.0;11.0;4.0;11.0;3.0;5.0;0.0;0.0;1.0;45.0;6.0;4.0;60.0
2018-09-26;21:00;Matchweek 7;Wed;Home;W;4.0;1.0;Reims;3.5;0.4;71.0;47237.0;Thiago Silva;4-2-3-1;Olivier Thual;Match Report;;2018-2019;13;e2d8892c;7fdd64e0;9421db97;4.0;14.0;6.0;42.9;0.21;0.5;17.5;1.0;1.0;1.0;3.5;2.7;0.19;0.5;0.3;3.0;1.0;2.0;66.7;0.0;0.6;-0.4;0.0;0.0;0.0;0.0;0.0;0.0;;27.0;5.0;0.0;16.0;4.0;0.0;19.0;8.0;0.0;0.0;3.0;20.0;672.0;751.0;89.5;10052.0;3382.0;338.0;360.0;93.9;245.0;276.0;88.8;35.0;50.0;70.0;1.0;2.5;2.1;11.0;57.0;11.0;1.0;56.0;751.0;710.0;41.0;11.0;7.0;5.0;16.0;16.0;8.0;3.0;0.0;0.0;672.0;0.0;6.0;28.0;18.0;5.0;0.0;1.0;3.0;1.0;8.0;5.0;1.0;0.0;0.0;2.0;0.0;15.0;13.0;3.0;6.0;6.0;7.0;18.0;38.9;11.0;6.0;2.0;4.0;14.0;29.0;15.0;1.0;71.0;858.0;53.0;204.0;431.0;232.0;31.0;857.0;17.0;9.0;52.9;8.0;47.1;553.0;2847.0;1500.0;28.0;17.0;7.0;20.0;24.0;664.0;54.0;0.0;0.0;0.0;12.0;13.0;0.0;16.0;14.0;13.0;1.0;0.0;0.0;69.0;9.0;4.0;69.2
2018-09-29;17:15;Matchweek 8;Sat;Away;W;3.0;0.0;Nice;2.6;0.5;62.0;33138.0;Thiago Silva;3-4-3;Clément Turpin;Match Report;;2018-2019;13;e2d8892c;132ebc33;9c38f996;3.0;20.0;8.0;40.0;0.15;0.38;16.5;1.0;0.0;0.0;2.6;2.6;0.14;0.4;0.4;1.0;0.0;1.0;100.0;1.0;0.1;0.1;0.0;0.0;0.0;0.0;2.0;4.0;50.0;14.0;2.0;14.3;27.4;6.0;33.3;33.7;12.0;0.0;0.0;0.0;;533.0;614.0;86.8;8625.0;3235.0;267.0;288.0;92.7;189.0;208.0;90.9;53.0;69.0;76.8;2.0;1.1;1.8;13.0;38.0;6.0;0.0;62.0;614.0;565.0;43.0;13.0;3.0;3.0;13.0;16.0;7.0;4.0;1.0;0.0;533.0;6.0;13.0;37.0;28.0;4.0;2.0;2.0;1.0;0.0;5.0;4.0;0.0;0.0;1.0;0.0;0.0;26.0;13.0;14.0;12.0;0.0;15.0;29.0;51.7;14.0;10.0;3.0;7.0;9.0;35.0;10.0;0.0;62.0;721.0;56.0;198.0;367.0;162.0;36.0;721.0;11.0;6.0;54.5;5.0;45.5;485.0;2202.0;1186.0;27.0;17.0;14.0;15.0;11.0;527.0;60.0;2.0;0.0;0.0;12.0;13.0;6.0;13.0;9.0;13.0;0.0;0.0;0.0;57.0;10.0;7.0;58.8
2018-10-07;21:00;Matchweek 9;Sun;Home;W;5.0;0.0;Lyon;3.6;1.5;49.0;47443.0;Thiago Silva;4-2-3-1;Antony Gautier;Match Report;;2018-2019;13;e2d8892c;d53c0b06;6415b068;5.0;13.0;7.0;53.8;0.31;0.57;13.9;0.0;1.0;1.0;3.6;2.8;0.23;1.4;1.2;6.0;0.0;6.0;100.0;1.0;1.5;1.5;0.0;0.0;0.0;0.0;1.0;9.0;11.1;21.0;8.0;28.6;27.7;5.0;60.0;50.8;16.0;1.0;6.3;0.0;6.0;387.0;459.0;84.3;5520.0;2182.0;228.0;247.0;92.3;111.0;134.0;82.8;21.0;41.0;51.2;2.0;1.8;2.4;9.0;25.0;7.0;0.0;36.0;459.0;421.0;34.0;16.0;10.0;2.0;3.0;10.0;2.0;0.0;0.0;1.0;387.0;4.0;1.0;23.0;19.0;0.0;1.0;2.0;1.0;0.0;9.0;6.0;0.0;1.0;1.0;1.0;0.0;23.0;16.0;15.0;6.0;2.0;12.0;25.0;48.0;13.0;14.0;6.0;8.0;19.0;42.0;18.0;1.0;49.0;575.0;65.0;208.0;256.0;118.0;28.0;574.0;12.0;6.0;50.0;6.0;50.0;307.0;1573.0;1041.0;21.0;19.0;5.0;17.0;11.0;382.0;36.0;2.0;1.0;0.0;11.0;16.0;4.0;3.0;19.0;16.0;1.0;0.0;0.0;50.0;5.0;4.0;55.6
2018-10-20;17:00;Matchweek 10;Sat;Home;W;5.0;0.0;Amiens;2.4;0.7;58.0;47497.0;Marquinhos;4-3-3;Mikael Lesage;Match Report;;2018-2019;13;e2d8892c;25622401;035d3aad;5.0;16.0;8.0;50.0;0.31;0.63;16.4;2.0;0.0;0.0;2.4;2.4;0.15;2.6;2.6;2.0;0.0;2.0;100.0;1.0;0.4;0.4;0.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;1.0;7.1;25.4;7.0;0.0;25.0;12.0;0.0;0.0;0.0;;516.0;592.0;87.2;8527.0;2676.0;241.0;258.0;93.4;207.0;225.0;92.0;45.0;68.0;66.2;3.0;1.5;1.6;11.0;20.0;15.0;1.0;59.0;592.0;549.0;41.0;12.0;3.0;1.0;20.0;11.0;10.0;5.0;2.0;0.0;516.0;2.0;5.0;30.0;19.0;4.0;2.0;1.0;4.0;0.0;10.0;5.0;2.0;2.0;1.0;0.0;0.0;23.0;15.0;11.0;11.0;1.0;10.0;13.0;76.9;3.0;5.0;0.0;5.0;9.0;32.0;21.0;0.0;58.0;693.0;47.0;214.0;321.0;162.0;26.0;693.0;19.0;12.0;63.2;7.0;36.8;508.0;2715.0;1552.0;32.0;28.0;5.0;9.0;9.0;511.0;59.0;0.0;0.0;0.0;12.0;8.0;2.0;20.0;9.0;15.0;0.0;0.0;0.0;46.0;12.0;11.0;52.2
