schedule_Date;schedule_Time;schedule_Round;schedule_Day;schedule_Venue;schedule_Result;schedule_GF;schedule_GA;schedule_Opponent;schedule_xG;schedule_xGA;schedule_Poss;schedule_Attendance;schedule_Captain;schedule_Formation;schedule_Referee;schedule_Match Report;schedule_Notes;schedule_fbref_season;schedule_fbref_league_id;schedule_fbref_squad_id;schedule_fbref_opponent_id;schedule_fbref_match_id;shooting_standard_Gls;shooting_standard_Sh;shooting_standard_SoT;shooting_standard_SoT%;shooting_standard_G/Sh;shooting_standard_G/SoT;shooting_standard_Dist;shooting_standard_FK;shooting_standard_PK;shooting_standard_PKatt;shooting_expected_xG;shooting_expected_npxG;shooting_expected_npxG/Sh;shooting_expected_G-xG;shooting_expected_np:G-xG;keeper_performance_SoTA;keeper_performance_GA;keeper_performance_Saves;keeper_performance_Save%;keeper_performance_CS;keeper_performance_PSxG;keeper_performance_PSxG+/-;keeper_penaltykicks_PKatt;keeper_penaltykicks_PKA;keeper_penaltykicks_PKsv;keeper_penaltykicks_PKm;keeper_launched_Cmp;keeper_launched_Att;keeper_launched_Cmp%;keeper_passes_Att;keeper_passes_Thr;keeper_passes_Launch%;keeper_passes_AvgLen;keeper_goalkicks_Att;keeper_goalkicks_Launch%;keeper_goalkicks_AvgLen;keeper_crosses_Opp;keeper_crosses_Stp;keeper_crosses_Stp%;keeper_sweeper_#OPA;keeper_sweeper_AvgDist;passing_total_Cmp;passing_total_Att;passing_total_Cmp%;passing_total_TotDist;passing_total_PrgDist;passing_short_Cmp;passing_short_Att;passing_short_Cmp%;passing_medium_Cmp;passing_medium_Att;passing_medium_Cmp%;passing_long_Cmp;passing_long_Att;passing_long_Cmp%;passing_attacking_Ast;passing_attacking_xAG;passing_attacking_xA;passing_attacking_KP;passing_attacking_1/3;passing_attacking_PPA;passing_attacking_CrsPA;passing_attacking_PrgP;passing_types_general_Att;passing_types_passtypes_Live;passing_types_passtypes_Dead;passing_types_passtypes_FK;passing_types_passtypes_TB;passing_types_passtypes_Sw;passing_types_passtypes_Crs;passing_types_passtypes_TI;passing_types_passtypes_CK;passing_types_cornerkicks_In;passing_types_cornerkicks_Out;passing_types_cornerkicks_Str;passing_types_outcomes_Cmp;passing_types_outcomes_Off;passing_types_outcomes_Blocks;gca_scatypes_SCA;gca_scatypes_PassLive;gca_scatypes_PassDead;gca_scatypes_TO;gca_scatypes_Sh;gca_scatypes_Fld;gca_scatypes_Def;gca_gcatypes_GCA;gca_gcatypes_PassLive;gca_gcatypes_PassDead;gca_gcatypes_TO;gca_gcatypes_Sh;gca_gcatypes_Fld;gca_gcatypes_Def;defense_tackles_Tkl;defense_tackles_TklW;defense_tackles_Def3rd;defense_tackles_Mid3rd;defense_tackles_Att3rd;defense_challenges_Tkl;defense_challenges_Att;defense_challenges_Tkl%;defense_challenges_Lost;defense_blocks_Blocks;defense_blocks_Sh;defense_blocks_Pass;defense_general_Int;defense_general_Tkl+Int;defense_general_Clr;defense_general_Err;possession_general_Poss;possession_touches_Touches;possession_touches_DefPen;possession_touches_Def3rd;possession_touches_Mid3rd;possession_touches_Att3rd;possession_touches_AttPen;possession_touches_Live;possession_take-ons_Att;possession_take-ons_Succ;possession_take-ons_Succ%;possession_take-ons_Tkld;possession_take-ons_Tkld%;possession_carries_Carries;possession_carries_TotDist;possession_carries_PrgDist;possession_carries_PrgC;possession_carries_1/3;possession_carries_CPA;possession_carries_Mis;possession_carries_Dis;possession_receiving_Rec;possession_receiving_PrgR;misc_performance_CrdY;misc_performance_CrdR;misc_performance_2CrdY;misc_performance_Fls;misc_performance_Fld;misc_performance_Off;misc_performance_Crs;misc_performance_Int;misc_performance_TklW;misc_performance_PKwon;misc_performance_PKcon;misc_performance_OG;misc_performance_Recov;misc_aerialduels_Won;misc_aerialduels_Lost;misc_aerialduels_Won%
2017-08-12;17:30;Matchweek 1;Sat;Away;W;2;0;Brighton;1.9;0.3;77;30415;Vincent Kompany;3-1-4-2;Michael Oliver;Match Report;;2017-2018;9;b8fd03ef;d07537b9;072bfc99;1;14;4;28.6;0.07;0.25;19.5;2;0;0;1.9;1.9;0.17;-0.9;-0.9;2;0;2;100.0;1;0.2;0.2;0;0;0;0;1;4;25.0;20;7;10.0;25.0;4;50.0;46.8;7;2;28.6;2;16.8;718;820;87.6;11768;3285;330;359;91.9;282;312;90.4;60;85;70.6;1;1.2;2.4;9;70;16;1;87;820;777;42;10;3;10;27;17;10;1;5;0;718;1;9;25;20;1;1;1;2;0;2;2;0;0;0;0;0;10;6;6;4;0;2;9;22.2;7;9;2;7;9;19;8;1;77.0;897;28;130;474;298;27;897;12;6;50.0;6;50.0;566;3154;1779;34;26;3;14;4;715;87;2;0;0;9;6;1;27;9;6;0;0;0;41;13;13;50.0
2017-08-21;20:00;Matchweek 2;Mon;Home;D;1;1;Everton;1.1;0.6;64;49108;Vincent Kompany;3-1-4-2;Robert Madley;Match Report;;2017-2018;9;b8fd03ef;d3fd31cc;424dc3f9;1;19;6;31.6;0.05;0.17;20.0;1;0;0;1.1;1.1;0.06;-0.1;-0.1;2;1;1;50.0;0;0.8;-0.2;0;0;0;0;5;9;55.6;28;5;25.0;30.3;6;33.3;40.0;7;1;14.3;4;17.6;494;618;79.9;8056;3076;237;270;87.8;180;220;81.8;48;82;58.5;0;0.9;1.0;15;41;15;0;59;618;563;55;11;1;11;24;29;7;0;6;0;494;0;7;36;27;3;2;2;2;0;2;2;0;0;0;0;0;12;8;6;5;1;5;8;62.5;3;11;0;11;10;22;7;1;64.0;705;43;163;338;212;35;705;20;13;65.0;7;35.0;369;2478;1471;37;24;7;17;12;486;58;3;1;1;7;8;0;24;10;8;0;0;0;48;22;12;64.7
2017-08-26;12:30;Matchweek 3;Sat;Away;W;2;1;Bournemouth;1.4;0.5;70;10419;Vincent Kompany;4-3-3;Mike Dean;Match Report;;2017-2018;9;b8fd03ef;4ba7cbea;77beb1ff;2;19;8;42.1;0.11;0.25;16.2;1;0;0;1.4;1.4;0.08;0.6;0.6;3;1;2;66.7;0;1.2;0.2;0;0;0;0;1;3;33.3;18;6;11.1;24.9;1;100.0;87.0;7;2;28.6;0;8.7;569;675;84.3;9985;3249;254;273;93.0;230;268;85.8;63;82;76.8;2;1.1;1.1;13;56;13;1;72;675;617;55;12;2;6;27;35;5;2;2;0;569;3;18;31;22;4;2;2;1;0;4;3;1;0;0;0;0;13;8;7;2;4;4;14;28.6;10;9;3;6;12;25;36;0;70.0;804;51;180;365;261;37;804;18;13;72.2;5;27.8;474;2610;1455;31;24;6;16;15;564;71;6;1;1;14;13;3;27;12;8;0;0;0;57;23;13;63.9
2017-09-09;12:30;Matchweek 4;Sat;Home;W;5;0;Liverpool;2.4;0.7;66;54172;David Silva;3-1-4-2;Jonathan Moss;Match Report;;2017-2018;9;b8fd03ef;822bd0ba;39dcce19;5;13;10;76.9;0.38;0.5;14.0;0;0;0;2.4;2.4;0.18;2.6;2.6;3;0;3;;1;1.1;0.0;0;0;0;0;3;7;42.9;30;6;20.0;30.1;3;33.3;44.7;8;0;0.0;4;21.2;689;781;88.2;11961;3566;301;324;92.9;333;361;92.2;44;68;64.7;5;2.1;1.5;10;39;9;3;63;781;732;44;11;6;1;19;21;8;0;3;0;689;5;2;22;16;3;1;1;1;0;10;9;0;1;0;0;0;14;10;8;4;2;5;15;33.3;10;10;2;8;12;26;15;0;66.0;868;46;177;535;159;23;868;12;4;33.3;8;66.7;661;2862;1535;29;15;7;11;7;688;63;2;0;0;10;9;5;19;12;10;0;0;0;52;9;4;69.2
2017-09-16;15:00;Matchweek 5;Sat;Away;W;6;0;Watford;3.3;0.5;67;20305;David Silva;4-3-3;Anthony Taylor;Match Report;;2017-2018;9;b8fd03ef;2abfe087;f9dc0d8f;6;27;9;33.3;0.19;0.56;17.2;0;1;1;3.3;2.5;0.09;2.7;2.5;1;0;1;100.0;1;0.6;0.6;0;0;0;0;3;6;50.0;28;6;7.1;23.0;5;80.0;49.6;9;2;22.2;1;13.3;602;684;88.0;10128;3471;286;316;90.5;244;269;90.7;53;66;80.3;5;2.4;1.4;22;46;15;3;69;684;643;41;9;3;4;26;15;11;0;3;0;602;0;9;50;38;6;4;0;2;0;12;7;1;2;0;2;0;19;13;11;5;3;11;22;50.0;11;10;1;9;10;29;24;0;67.0;808;53;212;360;245;38;807;17;13;76.5;4;23.5;459;2526;1647;42;22;10;21;3;599;69;0;0;0;6;8;0;26;10;13;1;0;0;49;14;11;56.0
2017-09-23;15:00;Matchweek 6;Sat;Home;W;5;0;Crystal Palace;4.5;0.6;71;53526;David Silva;4-3-3;Niel Swarbrick;Match Report;;2017-2018;9;b8fd03ef;47c64c55;63496f6c;5;25;9;36.0;0.2;0.56;13.5;0;0;0;4.5;4.5;0.19;0.5;0.5;0;0;0;;1;0.0;0.0;0;0;0;0;0;2;0.0;18;8;5.6;23.9;5;20.0;35.6;8;0;0.0;1;14.8;692;777;89.1;11251;3550;349;378;92.3;280;305;91.8;47;65;72.3;5;4.1;3.0;18;72;20;3;79;777;734;43;8;2;9;24;21;8;0;5;1;692;0;12;44;31;2;5;5;0;1;10;8;0;2;0;0;0;6;3;2;4;0;1;15;6.7;14;10;3;7;11;17;9;0;71.0;879;40;142;441;303;52;879;18;14;77.8;4;22.2;628;3150;1745;34;30;11;16;12;686;78;3;0;0;6;6;0;24;11;3;0;0;0;59;9;10;47.4
2017-09-30;17:30;Matchweek 7;Sat;Away;W;1;0;Chelsea;0.9;0.5;61;41530;David Silva;4-3-3;Martin Atkinson;Match Report;;2017-2018;9;b8fd03ef;cff3d9bb;9ebfd27b;1;17;5;29.4;0.06;0.2;18.0;1;0;0;0.9;0.9;0.05;0.1;0.1;2;0;2;100.0;1;0.3;0.3;0;0;0;0;5;12;41.7;37;4;24.3;31.7;3;100.0;76.7;10;1;10.0;6;21.3;605;696;86.9;10700;3550;261;285;91.6;266;296;89.9;62;88;70.5;1;0.8;1.0;14;41;12;2;68;696;650;46;15;5;2;20;19;8;0;7;0;605;0;8;33;25;5;1;0;2;0;2;2;0;0;0;0;0;19;17;9;8;2;6;16;37.5;10;13;0;13;11;30;21;0;61.0;798;46;197;413;197;35;798;15;8;53.3;7;46.7;572;2882;1528;37;21;8;11;12;601;66;2;0;0;13;8;0;20;11;17;0;0;0;61;17;7;70.8
2017-10-14;15:00;Matchweek 8;Sat;Home;W;7;2;Stoke City;3.8;0.5;79;54128;David Silva;4-3-3;Craig Pawson;Match Report;;2017-2018;9;b8fd03ef;17892952;f81f42ed;7;20;11;55.0;0.35;0.64;16.1;2;0;0;3.8;3.8;0.19;3.2;3.2;1;2;0;-100.0;0;0.0;-1.0;0;0;0;0;1;1;100.0;22;5;4.5;18.7;2;0.0;18.5;2;0;0.0;1;28.5;840;931;90.2;12943;4093;466;496;94.0;305;335;91.0;46;61;75.4;7;3.1;2.9;16;55;22;2;91;931;894;35;7;3;2;14;18;5;0;1;0;840;2;11;39;34;1;1;1;2;0;13;12;0;1;0;0;0;12;11;4;7;1;6;12;50.0;6;3;1;2;10;22;6;0;79.0;1002;32;143;624;243;50;1002;8;5;62.5;3;37.5;712;3311;1940;38;28;11;10;9;834;90;0;0;0;5;8;2;14;10;11;0;0;1;46;18;7;72.0
2017-10-21;15:00;Matchweek 9;Sat;Home;W;3;0;Burnley;3.1;0.2;77;54118;David Silva;4-3-3;Roger East;Match Report;;2017-2018;9;b8fd03ef;943e8050;11c702a4;3;14;9;64.3;0.14;0.22;15.0;0;1;1;3.1;2.8;0.2;-0.1;-0.8;0;0;0;;1;0.0;0.0;0;0;0;0;3;8;37.5;29;1;13.8;25.1;4;100.0;57.8;10;0;0.0;1;14.0;753;848;88.8;11696;3533;409;432;94.7;271;298;90.9;49;70;70.0;2;1.7;0.9;9;43;15;2;64;848;805;42;7;0;5;17;26;4;0;2;0;753;1;9;23;14;2;2;3;1;1;6;2;1;0;2;1;0;9;5;4;5;0;1;7;14.3;6;3;2;1;5;14;18;1;77.0;928;60;264;466;208;33;927;22;17;77.3;5;22.7;620;3410;1862;33;26;8;14;9;751;64;2;0;0;10;6;1;17;5;5;1;0;0;53;12;6;66.7
2017-10-28;15:00;Matchweek 10;Sat;Away;W;3;2;West Brom;2.3;1.5;77;24003;David Silva;4-3-3;Mike Jones;Match Report;;2017-2018;9;b8fd03ef;60c6b05f;fdbbce69;3;15;5;33.3;0.2;0.6;20.1;2;0;0;2.3;2.3;0.15;0.7;0.7;4;2;2;50.0;0;1.9;-0.1;0;0;0;0;3;9;33.3;33;4;18.2;28.0;3;100.0;72.7;5;0;0.0;2;17.7;861;959;89.8;13629;4248;431;466;92.5;344;366;94.0;51;76;67.1;3;1.8;2.5;11;64;21;0;88;959;922;36;13;2;6;10;15;2;0;2;0;861;1;12;28;25;0;1;0;2;0;5;5;0;0;0;0;0;16;11;5;7;4;3;15;20.0;12;12;2;10;10;26;21;2;77.0;1068;53;211;538;326;29;1068;20;15;75.0;5;25.0;610;2949;1681;31;24;6;22;16;858;87;3;0;0;7;10;1;10;10;11;0;0;0;62;17;11;60.7
