schedule_Date;schedule_Time;schedule_Round;schedule_Day;schedule_Venue;schedule_Result;schedule_GF;schedule_GA;schedule_Opponent;schedule_xG;schedule_xGA;schedule_Poss;schedule_Attendance;schedule_Captain;schedule_Formation;schedule_Referee;schedule_Match Report;schedule_Notes;schedule_fbref_season;schedule_fbref_league_id;schedule_fbref_squad_id;schedule_fbref_opponent_id;schedule_fbref_match_id;shooting_standard_Gls;shooting_standard_Sh;shooting_standard_SoT;shooting_standard_SoT%;shooting_standard_G/Sh;shooting_standard_G/SoT;shooting_standard_Dist;shooting_standard_FK;shooting_standard_PK;shooting_standard_PKatt;shooting_expected_xG;shooting_expected_npxG;shooting_expected_npxG/Sh;shooting_expected_G-xG;shooting_expected_np:G-xG;keeper_performance_SoTA;keeper_performance_GA;keeper_performance_Saves;keeper_performance_Save%;keeper_performance_CS;keeper_performance_PSxG;keeper_performance_PSxG+/-;keeper_penaltykicks_PKatt;keeper_penaltykicks_PKA;keeper_penaltykicks_PKsv;keeper_penaltykicks_PKm;keeper_launched_Cmp;keeper_launched_Att;keeper_launched_Cmp%;keeper_passes_Att;keeper_passes_Thr;keeper_passes_Launch%;keeper_passes_AvgLen;keeper_goalkicks_Att;keeper_goalkicks_Launch%;keeper_goalkicks_AvgLen;keeper_crosses_Opp;keeper_crosses_Stp;keeper_crosses_Stp%;keeper_sweeper_#OPA;keeper_sweeper_AvgDist;passing_total_Cmp;passing_total_Att;passing_total_Cmp%;passing_total_TotDist;passing_total_PrgDist;passing_short_Cmp;passing_short_Att;passing_short_Cmp%;passing_medium_Cmp;passing_medium_Att;passing_medium_Cmp%;passing_long_Cmp;passing_long_Att;passing_long_Cmp%;passing_attacking_Ast;passing_attacking_xAG;passing_attacking_xA;passing_attacking_KP;passing_attacking_1/3;passing_attacking_PPA;passing_attacking_CrsPA;passing_attacking_PrgP;passing_types_general_Att;passing_types_passtypes_Live;passing_types_passtypes_Dead;passing_types_passtypes_FK;passing_types_passtypes_TB;passing_types_passtypes_Sw;passing_types_passtypes_Crs;passing_types_passtypes_TI;passing_types_passtypes_CK;passing_types_cornerkicks_In;passing_types_cornerkicks_Out;passing_types_cornerkicks_Str;passing_types_outcomes_Cmp;passing_types_outcomes_Off;passing_types_outcomes_Blocks;gca_scatypes_SCA;gca_scatypes_PassLive;gca_scatypes_PassDead;gca_scatypes_TO;gca_scatypes_Sh;gca_scatypes_Fld;gca_scatypes_Def;gca_gcatypes_GCA;gca_gcatypes_PassLive;gca_gcatypes_PassDead;gca_gcatypes_TO;gca_gcatypes_Sh;gca_gcatypes_Fld;gca_gcatypes_Def;defense_tackles_Tkl;defense_tackles_TklW;defense_tackles_Def3rd;defense_tackles_Mid3rd;defense_tackles_Att3rd;defense_challenges_Tkl;defense_challenges_Att;defense_challenges_Tkl%;defense_challenges_Lost;defense_blocks_Blocks;defense_blocks_Sh;defense_blocks_Pass;defense_general_Int;defense_general_Tkl+Int;defense_general_Clr;defense_general_Err;possession_general_Poss;possession_touches_Touches;possession_touches_DefPen;possession_touches_Def3rd;possession_touches_Mid3rd;possession_touches_Att3rd;possession_touches_AttPen;possession_touches_Live;possession_take-ons_Att;possession_take-ons_Succ;possession_take-ons_Succ%;possession_take-ons_Tkld;possession_take-ons_Tkld%;possession_carries_Carries;possession_carries_TotDist;possession_carries_PrgDist;possession_carries_PrgC;possession_carries_1/3;possession_carries_CPA;possession_carries_Mis;possession_carries_Dis;possession_receiving_Rec;possession_receiving_PrgR;misc_performance_CrdY;misc_performance_CrdR;misc_performance_2CrdY;misc_performance_Fls;misc_performance_Fld;misc_performance_Off;misc_performance_Crs;misc_performance_Int;misc_performance_TklW;misc_performance_PKwon;misc_performance_PKcon;misc_performance_OG;misc_performance_Recov;misc_aerialduels_Won;misc_aerialduels_Lost;misc_aerialduels_Won%
2020-09-27;16:00;Matchweek 3;Sun;Home;W;6;1;Granada;3.3;1.6;55;;Koke;4-4-2;Javier Estrada;Match Report;;2020-2021;12;db3b9613;a0435291;5ad39ebe;6;16;9;56.3;0.38;0.67;15.2;0;0;1;3.3;2.5;0.16;2.7;3.5;6;1;5;83.3;0;2.0;1.0;0;0;0;0;3;10;30.0;17;3;47.1;37.1;4;50.0;42.0;16;1;6.3;0;8.3;449;550;81.6;6776;2607;233;259;90.0;157;188;83.5;25;48;52.1;5;2.1;1.6;13;28;14;1;45;550;509;39;12;3;4;11;20;1;0;1;0;449;2;7;28;21;1;2;3;1;0;12;10;0;1;1;0;0;12;7;4;5;3;4;14;28.6;10;8;2;6;17;29;21;0;55.0;653;53;172;331;159;29;653;20;16;80.0;4;20.0;450;1941;1001;19;19;4;11;12;446;45;3;0;0;16;14;2;11;17;7;1;0;0;55;20;22;47.6
2020-09-30;19:00;Matchweek 4;Wed;Away;D;0;0;Huesca;1.6;0.9;63;;Jan Oblak;4-4-2;Adrián Cordero;Match Report;;2020-2021;12;db3b9613;c6c493e6;82839575;0;16;2;12.5;0.0;0.0;19.0;1;0;0;1.6;1.6;0.1;-1.6;-1.6;3;0;3;100.0;1;0.3;0.3;0;0;0;0;4;11;36.4;24;6;33.3;34.1;8;37.5;43.6;15;0;0.0;1;22.0;576;682;84.5;9654;3341;270;301;89.7;209;235;88.9;61;91;67.0;0;1.3;1.8;9;53;12;4;71;682;628;52;13;1;3;25;23;7;2;4;0;576;2;12;28;18;1;5;3;1;0;0;0;0;0;0;0;0;14;9;6;5;3;9;17;52.9;8;8;2;6;7;21;10;0;63.0;782;45;165;368;252;34;782;24;16;66.7;8;33.3;417;1941;1090;26;12;8;15;8;574;71;0;0;0;10;12;2;25;7;9;0;0;0;48;18;18;50.0
2020-10-03;16:00;Matchweek 5;Sat;Home;D;0;0;Villarreal;0.6;0.3;54;;Koke;4-4-2;Alejandro Hernández;Match Report;;2020-2021;12;db3b9613;2a8183b3;a86b36da;0;13;0;0.0;0.0;;23.3;0;0;0;0.6;0.6;0.05;-0.6;-0.6;2;0;2;100.0;1;0.1;0.1;0;0;0;0;0;2;0.0;15;4;6.7;22.8;7;14.3;32.6;8;0;0.0;3;33.0;541;652;83.0;8380;2530;271;294;92.2;202;224;90.2;37;76;48.7;0;0.5;0.9;8;49;9;0;53;652;608;40;7;1;5;28;16;9;3;5;0;541;4;13;19;11;2;1;2;2;1;0;0;0;0;0;0;0;18;11;5;9;4;12;23;52.2;11;6;0;6;9;27;17;0;54.0;753;41;138;395;225;20;753;20;11;55.0;9;45.0;512;2246;1316;25;16;2;12;12;540;53;1;0;0;11;7;4;28;9;11;0;0;0;62;8;12;40.0
2020-10-17;16:00;Matchweek 6;Sat;Away;W;2;0;Celta Vigo;1.4;1.9;49;;Koke;4-4-2;Juan Martínez;Match Report;;2020-2021;12;db3b9613;f25da7fb;2a78c932;2;9;4;44.4;0.22;0.5;15.5;0;0;0;1.4;1.4;0.16;0.6;0.6;5;0;5;100.0;1;1.2;1.2;0;0;0;0;11;25;44.0;28;3;64.3;45.3;11;63.6;45.5;13;0;0.0;2;20.5;383;487;78.6;6147;2611;200;222;90.1;106;135;78.5;45;81;55.6;1;1.0;0.9;6;18;6;0;30;487;431;56;17;2;3;10;23;4;2;2;0;383;0;7;15;10;2;0;2;1;0;3;2;0;0;1;0;0;8;4;6;2;0;4;16;25.0;12;11;2;9;14;22;10;0;49.0;588;61;161;307;122;16;588;9;3;33.3;6;66.7;300;1181;578;12;16;2;18;8;380;30;4;0;0;18;16;0;10;14;4;0;0;0;41;12;13;48.0
2020-10-24;21:00;Matchweek 7;Sat;Home;W;2;0;Betis;1.4;1.1;40;;Koke;4-4-2;Antonio Matéu Lahoz;Match Report;;2020-2021;12;db3b9613;fc536746;52870eeb;2;13;6;46.2;0.15;0.33;19.4;1;0;0;1.4;1.4;0.11;0.6;0.6;3;0;3;100.0;1;0.8;0.8;0;0;0;0;5;15;33.3;18;2;55.6;43.7;7;71.4;45.4;19;1;5.3;0;8.0;306;412;74.3;5132;2127;145;171;84.8;105;131;80.2;36;68;52.9;2;1.3;0.8;10;14;6;0;27;412;367;42;11;1;3;10;15;8;4;1;0;306;3;13;19;14;1;1;2;1;0;4;3;1;0;0;0;0;16;11;8;6;2;10;22;45.5;12;13;6;7;9;25;23;0;40.0;525;66;188;220;119;27;525;13;9;69.2;4;30.8;210;1426;723;19;13;4;12;10;304;27;2;0;0;19;12;3;10;9;11;0;0;0;56;17;13;56.7
2020-10-31;18:30;Matchweek 8;Sat;Away;W;3;1;Osasuna;2.8;1.1;55;;Koke;4-4-2;Javier Estrada;Match Report;;2020-2021;12;db3b9613;03c57e2b;649ad5eb;3;9;5;55.6;0.22;0.4;18.7;1;1;2;2.8;1.2;0.13;0.2;0.8;3;1;2;66.7;0;1.0;0.0;0;0;0;0;5;21;23.8;26;2;46.2;36.2;14;64.3;43.0;19;0;0.0;1;16.3;475;596;79.7;7233;2634;248;280;88.6;155;184;84.2;39;89;43.8;2;1.1;0.9;7;29;16;1;47;596;551;43;9;2;3;9;16;2;1;1;0;475;2;2;20;15;0;1;2;2;0;6;4;0;1;0;1;0;15;8;7;8;0;7;17;41.2;10;4;1;3;15;30;20;0;55.0;710;64;241;327;148;21;708;15;9;60.0;6;40.0;348;1492;734;11;10;3;15;6;472;47;2;0;0;10;10;2;9;15;8;1;0;0;61;20;21;48.8
2020-11-07;21:00;Matchweek 9;Sat;Home;W;4;0;Cádiz;2.1;0.4;67;;Koke;3-4-3;Adrián Cordero;Match Report;;2020-2021;12;db3b9613;ee7c297c;69ba62d3;4;17;7;41.2;0.24;0.57;16.9;0;0;0;2.1;2.1;0.13;1.9;1.9;3;0;3;100.0;1;0.7;0.7;0;0;0;0;4;9;44.4;18;3;33.3;34.1;10;30.0;26.7;25;0;0.0;2;14.2;715;788;90.7;10396;3512;409;431;94.9;218;239;91.2;47;65;72.3;3;2.0;1.8;13;51;11;1;58;788;752;33;10;1;5;8;10;2;1;0;0;715;3;2;31;23;4;0;1;2;1;7;5;1;0;0;0;1;12;7;7;4;1;5;17;29.4;12;4;1;3;17;29;22;0;67.0;884;62;189;519;177;22;884;11;8;72.7;3;27.3;568;2614;1513;19;22;3;14;16;714;58;1;0;0;10;9;3;8;17;7;0;0;0;55;18;9;66.7
2020-11-21;21:00;Matchweek 10;Sat;Home;W;1;0;Barcelona;0.5;0.9;46;;Koke;5-3-2;José Luis Munuera;Match Report;;2020-2021;12;db3b9613;206d90db;43512e62;1;9;2;22.2;0.11;0.5;21.7;0;0;0;0.5;0.5;0.05;0.5;0.5;4;0;4;100.0;1;0.2;0.2;0;0;0;0;6;19;31.6;19;1;68.4;45.3;8;75.0;49.8;15;0;0.0;0;7.0;466;560;83.2;7858;2751;226;247;91.5;169;190;88.9;50;87;57.5;1;0.4;0.4;8;41;12;1;35;560;514;44;8;0;3;16;19;8;3;4;0;466;2;7;17;14;0;3;0;0;0;2;1;0;1;0;0;0;13;7;10;3;0;9;18;50.0;9;11;5;6;11;24;20;1;46.0;656;64;182;293;188;23;656;20;10;50.0;10;50.0;328;1556;767;19;12;6;13;8;463;34;4;0;0;12;6;2;16;11;7;0;0;0;46;8;11;42.1
2020-11-28;16:15;Matchweek 11;Sat;Away;W;1;0;Valencia;0.9;0.2;66;;Koke;3-4-3;Ricardo de Burgos;Match Report;;2020-2021;12;db3b9613;dcc91a7b;a9d485ac;0;14;5;35.7;0.0;0.0;18.9;0;0;0;0.9;0.9;0.06;-0.9;-0.9;2;0;2;100.0;1;0.5;0.5;0;0;0;0;1;9;11.1;15;5;33.3;35.1;5;80.0;49.6;9;0;0.0;0;;581;696;83.5;9293;2535;306;336;91.1;197;221;89.1;52;90;57.8;0;0.5;1.0;11;37;14;2;55;696;654;41;13;1;14;18;15;7;2;1;0;581;1;10;26;21;3;1;0;0;1;0;0;0;0;0;0;0;17;13;6;9;2;7;14;50.0;7;10;2;8;8;25;5;0;66.0;783;31;123;417;245;23;783;13;9;69.2;4;30.8;397;2106;1041;18;14;4;15;4;576;54;5;0;0;15;12;1;18;8;13;0;0;0;48;13;14;48.1
2020-12-05;18:30;Matchweek 12;Sat;Home;W;2;0;Valladolid;1.2;0.7;54;;Jan Oblak;3-4-1-2;Pablo González;Match Report;;2020-2021;12;db3b9613;17859612;03ba0ca6;2;14;4;28.6;0.14;0.5;18.7;0;0;0;1.2;1.2;0.09;0.8;0.8;3;0;3;100.0;1;0.3;0.3;0;0;0;0;12;26;46.2;22;5;63.6;45.9;15;80.0;49.0;11;0;0.0;0;;473;585;80.9;7829;3047;242;268;90.3;150;185;81.1;57;91;62.6;2;1.1;0.7;10;36;10;1;54;585;539;43;9;0;4;16;14;4;0;3;0;473;3;6;23;19;4;0;0;0;0;4;4;0;0;0;0;0;15;8;8;5;2;8;12;66.7;4;10;4;6;9;24;18;1;54.0;689;60;167;355;174;29;689;26;15;57.7;11;42.3;362;1800;950;18;11;10;12;6;468;54;4;0;0;10;10;3;16;9;8;0;0;0;62;13;12;52.0
